"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5450107800","71373960","325835","2465","96112","122254","1601","76.36","League of Legends"
"Hearthstone","2","Hearthstone","2326922340","10168860","241636","387","18841","52196","228","228.83","Hearthstone"
"Dota 2","3","Dota 2","2302898040","19983360","325165","1228","24240","51657","448","115.24","Dota 2"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2212245180","42186420","508269","2086","84382","49624","946","52.44","Counter-Strike: Global Offensive"
"PLAYERUNKNOWN'S BATTLEGROUNDS","5","PLAYERUNKNOWN'S BATTLEGROUNDS","1492673280","17340660","150320","1629","26794","33483","388","86.08","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","6","Overwatch","1354742580","55126620","98176","2808","102428","30389","1236","24.58","Overwatch"
"The Legend of Zelda: Breath of the Wild","7","The Legend of Zelda: Breath of the Wild","857939280","13984260","148409","1408","11788","19244","313","61.35","The Legend of Zelda: Breath of the Wild"
"Z1: Battle Royale","8","Z1: Battle Royale","760102380","28098840","56523","1053","39334","17050","630","27.05","Z1: Battle Royale"
"World of Warcraft","9","World of Warcraft","547095480","27401820","29497","1606","31735","12272","614","19.97","World of Warcraft"
"IRL","10","IRL","533128260","6310920","59522","237","18103","11958","141","84.48","IRL"
"Power Rangers: Battle for the Grid","11","Power Rangers: Battle for the Grid","485476080","520680","71017","101","995","10889","11","932.39","Power Rangers: Battle for the Grid"
"FIFA 17","12","FIFA 17","385463340","9385320","59295","541","21773","8646","210","41.07","FIFA 17"
"RuneScape","13","RuneScape","380606760","5415180","94782","219","7390","8537","121","70.29","RuneScape"
"Destiny","14","Destiny","368621460","53192940","107657","4818","55717","8268","1193","6.93","Destiny"
"Horizon Zero Dawn","15","Horizon Zero Dawn","347233140","7322760","108478","880","39390","7788","164","47.42","Horizon Zero Dawn"
"Path of Exile","16","Path of Exile","341830500","9128280","35294","1169","8320","7667","204","37.45","Path of Exile"
"Minecraft","17","Minecraft","337436580","16769160","39172","925","38531","7569","376","20.12","Minecraft"
"Talk Shows & Podcasts","18","Talk Shows & Podcasts","337108320","3958020","162173","203","11542","7561","88","85.17","Talk Shows & Podcasts"
"Creative","19","Creative","288810720","13068360","24940","483","22628","6478","293","22.1","Creative"
"StarCraft II","20","StarCraft II","287359920","3390420","68750","130","4584","6445","76","84.76","StarCraft II"
"Heroes of the Storm","21","Heroes of the Storm","285997140","6819300","41781","270","10014","6415","152","41.94","Heroes of the Storm"
"Tom Clancy's Rainbow Six: Siege","22","Tom Clancy's Rainbow Six: Siege","283071360","24947640","26077","1200","53944","6349","559","11.35","Tom Clancy's Rainbow Six: Siege"
"Mass Effect: Andromeda","23","Mass Effect: Andromeda","274652820","7238640","71484","1207","11982","6160","162","37.94","Mass Effect: Andromeda"
"World of Tanks","24","World of Tanks","254068260","8139960","28161","390","10300","5699","182","31.21","World of Tanks"
"Poker","25","Poker","246673680","2602800","24901","139","2278","5533","58","94.77","Poker"
