"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","5015403960","75903060","267822","3315","189224","112503","1702","66.08","Just Chatting"
"League of Legends","2","League of Legends","4714754520","138131160","223571","6392","211766","105759","3098","34.13","League of Legends"
"Fortnite","3","Fortnite","3853710780","231450960","942880","35639","470255","86444","5191","16.65","Fortnite"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2427628980","58678200","322386","2695","146003","54455","1316","41.37","Counter-Strike: Global Offensive"
"Grand Theft Auto V","5","Grand Theft Auto V","2272088700","45086160","143326","2190","93082","50966","1011","50.39","Grand Theft Auto V"
"Dota 2","6","Dota 2","2055615120","25164480","200393","1072","30022","46110","564","81.69","Dota 2"
"Hearthstone","7","Hearthstone","1569589620","10472640","114139","983","18693","35208","234","149.88","Hearthstone"
"Escape From Tarkov","8","Escape From Tarkov","1216805760","25924620","224062","1290","23516","27294","581","46.94","Escape From Tarkov"
"World of Warcraft","9","World of Warcraft","1211917260","49149180","83895","2933","55256","27185","1102","24.66","World of Warcraft"
"Path of Exile","10","Path of Exile","1162481580","19455840","146028","3094","19897","26076","436","59.75","Path of Exile"
"Call Of Duty: Modern Warfare","11","Call Of Duty: Modern Warfare","1061204700","58449120","116312","2819","181814","23804","1311","18.16","Call Of Duty: Modern Warfare"
"FIFA 20","12","FIFA 20","1046049720","18246420","249600","1106","41416","23464","409","57.33","FIFA 20"
"Minecraft","13","Minecraft","1015405500","43892340","164241","1852","131774","22777","984","23.13","Minecraft"
"PLAYERUNKNOWN'S BATTLEGROUNDS","14","PLAYERUNKNOWN'S BATTLEGROUNDS","984254940","46492920","80774","1586","68785","22078","1042","21.17","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","15","Overwatch","843399960","43371060","58517","1915","86206","18918","972","19.45","Overwatch"
"Apex Legends","16","Apex Legends","742969680","63082020","47729","2148","114378","16665","1415","11.78","Apex Legends"
"Tom Clancy's Rainbow Six: Siege","17","Tom Clancy's Rainbow Six: Siege","699775980","46770840","68913","1976","118207","15697","1049","14.96","Tom Clancy's Rainbow Six: Siege"
"Teamfight Tactics","18","Teamfight Tactics","672847080","13881960","71327","525","32689","15093","311","48.47","Teamfight Tactics"
"Pokémon Sword/Shield","19","Pokémon Sword/Shield","619332540","17495700","63077","956","22867","13892","392","35.4","Pokémon Sword/Shield"
"Dead by Daylight","20","Dead by Daylight","612632700","28669440","42933","1189","46360","13742","643","21.37","Dead by Daylight"
"Special Events","21","Special Events","561737400","1961640","1018282","3724","8305","12600","44","286.36","Special Events"
"Slots","22","Slots","556691700","4129860","77546","170","3673","12487","92","134.8","Slots"
"Rocket League","23","Rocket League","370628520","18669420","240598","881","64297","8313","418","19.85","Rocket League"
"Destiny 2","24","Destiny 2","342082140","27276420","78704","1936","45579","7673","611","12.54","Destiny 2"
"Magic: The Gathering","25","Magic: The Gathering","337829880","3594480","107819","147","5935","7578","80","93.99","Magic: The Gathering"
