"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","10228712820","156467040","508828","5233","328529","229446","3509","65.37","Just Chatting"
"League of Legends","2","League of Legends","8553094320","195058140","707347","7440","229635","191859","4375","43.85","League of Legends"
"Fall Guys: Ultimate Knockout","3","Fall Guys: Ultimate Knockout","6776300460","135468180","713229","7272","395663","152003","3038","50.02","Fall Guys: Ultimate Knockout"
"Fortnite","4","Fortnite","5928845640","477731700","497250","21768","663479","132993","10716","12.41","Fortnite"
"Call Of Duty: Modern Warfare","5","Call Of Duty: Modern Warfare","5059167540","405269520","951957","31506","445223","113485","9090","12.48","Call Of Duty: Modern Warfare"
"Grand Theft Auto V","6","Grand Theft Auto V","4999216620","90935280","374879","3525","125748","112140","2039","54.98","Grand Theft Auto V"
"VALORANT","7","VALORANT","3267731700","181019520","564404","8000","256154","73300","4060","18.05","VALORANT"
"Counter-Strike: Global Offensive","8","Counter-Strike: Global Offensive","2894600640","64273740","313425","2526","117920","64930","1441","45.04","Counter-Strike: Global Offensive"
"Minecraft","9","Minecraft","2421699600","116537880","374683","4520","244197","54322","2614","20.78","Minecraft"
"Dota 2","10","Dota 2","2295120300","33297360","170474","1247","26864","51483","746","68.93","Dota 2"
"Among Us","11","Among Us","1832267520","22272900","266564","3044","73330","41100","499","82.26","Among Us"
"World of Warcraft","12","World of Warcraft","1815080820","73678680","125034","4059","66062","40715","1652","24.64","World of Warcraft"
"Apex Legends","13","Apex Legends","1544903100","123088380","173116","5970","166678","34654","2761","12.55","Apex Legends"
"Hearthstone","14","Hearthstone","1520489100","11440200","115789","941","14666","34106","256","132.91","Hearthstone"
"Dead by Daylight","15","Dead by Daylight","1332975540","61485180","86217","2261","83980","29900","1379","21.68","Dead by Daylight"
"Music","16","Music","1289715480","39085380","100859","1509","35380","28930","876","33","Music"
"Escape From Tarkov","17","Escape From Tarkov","949783260","39575040","50345","1431","30460","21305","887","24","Escape From Tarkov"
"Overwatch","18","Overwatch","770090820","49579560","63488","2179","81557","17274","1112","15.53","Overwatch"
"Slots","19","Slots","766122000","4964400","97445","194","3637","17185","111","154.32","Slots"
"Tom Clancy's Rainbow Six: Siege","20","Tom Clancy's Rainbow Six: Siege","749077680","74200680","114613","3038","137891","16802","1664","10.1","Tom Clancy's Rainbow Six: Siege"
"PLAYERUNKNOWN'S BATTLEGROUNDS","21","PLAYERUNKNOWN'S BATTLEGROUNDS","686940240","36042780","120025","1275","39123","15409","808","19.06","PLAYERUNKNOWN'S BATTLEGROUNDS"
"New World","22","New World","668004060","9962280","344240","2986","17706","14984","223","67.05","New World"
"Rocket League","23","Rocket League","586389660","29099460","182628","1134","82809","13153","652","20.15","Rocket League"
"Teamfight Tactics","24","Teamfight Tactics","536104380","11347740","90594","415","23579","12025","254","47.24","Teamfight Tactics"
"FIFA 20","25","FIFA 20","517550220","22852320","41935","1235","46172","11609","512","22.65","FIFA 20"
