"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","10961322120","154973880","573912","5586","324606","245879","3476","70.73","Just Chatting"
"League of Legends","2","League of Legends","8107396320","194919000","494759","7246","223201","181861","4372","41.59","League of Legends"
"Fortnite","3","Fortnite","6318348840","532939980","328230","21039","681016","141730","11954","11.86","Fortnite"
"Grand Theft Auto V","4","Grand Theft Auto V","5647798200","96864120","378519","3752","130521","126689","2172","58.31","Grand Theft Auto V"
"Call Of Duty: Modern Warfare","5","Call Of Duty: Modern Warfare","5264890620","387310440","357124","16641","420466","118099","8687","13.59","Call Of Duty: Modern Warfare"
"VALORANT","6","VALORANT","3410453580","216509160","151120","8081","285520","76501","4856","15.75","VALORANT"
"Minecraft","7","Minecraft","3171886860","124860360","443809","4437","248121","71150","2800","25.4","Minecraft"
"Counter-Strike: Global Offensive","8","Counter-Strike: Global Offensive","2514146520","71222520","197934","3034","126894","56396","1597","35.3","Counter-Strike: Global Offensive"
"Dota 2","9","Dota 2","2154415680","34272660","193157","1301","27565","48326","768","62.86","Dota 2"
"World of Warcraft","10","World of Warcraft","2114612820","71968620","247146","3821","64159","47434","1614","29.38","World of Warcraft"
"Apex Legends","11","Apex Legends","1440086160","120205860","181143","4158","156699","32303","2696","11.98","Apex Legends"
"Hearthstone","12","Hearthstone","1300363800","10024980","72440","363","12587","29169","224","129.71","Hearthstone"
"Ghost of Tsushima","13","Ghost of Tsushima","1281468600","49085640","312594","5993","55600","28745","1101","26.11","Ghost of Tsushima"
"Escape From Tarkov","14","Escape From Tarkov","1211987520","44625780","78327","1841","33086","27186","1001","27.16","Escape From Tarkov"
"Dead by Daylight","15","Dead by Daylight","1142059320","61087020","65116","2138","81765","25618","1370","18.7","Dead by Daylight"
"Music","16","Music","1124054520","38095380","123955","1461","36181","25214","854","29.51","Music"
"Overwatch","17","Overwatch","1042083120","53030100","70577","1879","81725","23375","1189","19.65","Overwatch"
"Special Events","18","Special Events","873584700","2560080","1379046","3180","8927","19595","57","341.23","Special Events"
"Hyper Scape","19","Hyper Scape","856281660","20706300","456629","2136","60778","19207","464","41.35","Hyper Scape"
"FIFA 20","20","FIFA 20","856215300","30298260","87350","1621","56403","19206","679","28.26","FIFA 20"
"Tom Clancy's Rainbow Six: Siege","21","Tom Clancy's Rainbow Six: Siege","778600860","81935280","47393","2863","144626","17465","1837","9.5","Tom Clancy's Rainbow Six: Siege"
"Slots","22","Slots","745660080","4593360","95566","177","3584","16726","103","162.33","Slots"
"PLAYERUNKNOWN'S BATTLEGROUNDS","23","PLAYERUNKNOWN'S BATTLEGROUNDS","703251780","35381280","57693","1220","36800","15775","793","19.88","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Teamfight Tactics","24","Teamfight Tactics","664212840","13217580","112915","482","26957","14899","296","50.25","Teamfight Tactics"
"Path of Exile","25","Path of Exile","615524340","14895960","50665","611","10103","13807","334","41.32","Path of Exile"
