"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5303342940","73035000","553165","2945","113251","122933","1692","72.61","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","4303392780","43298640","1059002","2119","97614","99754","1003","99.39","Counter-Strike: Global Offensive"
"Dota 2","3","Dota 2","2561478600","19189920","341103","815","30056","59375","444","133.48","Dota 2"
"Hearthstone","4","Hearthstone","2487427020","13799100","280643","1220","33921","57659","319","180.26","Hearthstone"
"Dark Souls III","5","Dark Souls III","1078759020","44982120","103991","3238","94233","25006","1042","23.98","Dark Souls III"
"Call of Duty: Black Ops III","6","Call of Duty: Black Ops III","876517260","71326440","157156","3583","194704","20317","1653","12.29","Call of Duty: Black Ops III"
"World of Warcraft","7","World of Warcraft","460521720","17016540","55342","1011","27131","10675","394","27.06","World of Warcraft"
"Minecraft","8","Minecraft","456320340","24970560","61290","1398","72014","10577","578","18.27","Minecraft"
"Tom Clancy's The Division","9","Tom Clancy's The Division","423722160","32520420","37151","1651","72495","9822","753","13.03","Tom Clancy's The Division"
"Talk Shows & Podcasts","10","Talk Shows & Podcasts","397383480","3288120","54860","181","11123","9211","76","120.85","Talk Shows & Podcasts"
"World of Tanks","11","World of Tanks","379948740","7329780","146906","341","12836","8807","169","51.84","World of Tanks"
"Destiny","12","Destiny","351225060","34130520","83004","2489","57812","8141","791","10.29","Destiny"
"RuneScape","13","RuneScape","322056120","4488240","24109","171","7738","7465","104","71.76","RuneScape"
"Creative","14","Creative","256508040","8923440","38276","336","18246","5945","206","28.75","Creative"
"FIFA 16","15","FIFA 16","255496560","9721440","84769","593","34861","5922","225","26.28","FIFA 16"
"Heroes of the Storm","16","Heroes of the Storm","240952260","6667860","45892","325","12612","5585","154","36.14","Heroes of the Storm"
"StarCraft II","17","StarCraft II","230651460","3249360","22631","139","5131","5346","75","70.98","StarCraft II"
"Poker","18","Poker","215760420","2308620","18731","135","2340","5001","53","93.46","Poker"
"SMITE","19","SMITE","211489260","10424880","23020","449","25390","4902","241","20.29","SMITE"
"Street Fighter V","20","Street Fighter V","200021700","2656080","72891","204","7748","4636","61","75.31","Street Fighter V"
"Overwatch","21","Overwatch","198892140","4168920","38505","1129","9592","4610","96","47.71","Overwatch"
"Z1: Battle Royale","22","Z1: Battle Royale","194312700","7270140","32008","280","10901","4504","168","26.73","Z1: Battle Royale"
"Arma 3","23","Arma 3","187823220","5128260","37967","277","7708","4353","118","36.63","Arma 3"
"NBA 2K16","24","NBA 2K16","177596700","12729660","33636","730","35093","4116","295","13.95","NBA 2K16"
"The Culling","25","The Culling","172414920","2552100","43594","124","5623","3996","59","67.56","The Culling"
