"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5959942140","81799440","379399","2868","129423","133690","1834","72.86","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","4342608720","41676360","1233293","2177","110118","97411","934","104.2","Counter-Strike: Global Offensive"
"Dota 2","3","Dota 2","2342185680","21574800","231960","877","33380","52538","483","108.56","Dota 2"
"Hearthstone","4","Hearthstone","2259063660","10763640","97854","415","24800","50674","241","209.88","Hearthstone"
"Overwatch","5","Overwatch","1542027780","58365840","88338","2423","149853","34590","1309","26.42","Overwatch"
"Z1: Battle Royale","6","Z1: Battle Royale","1223996820","28974000","70909","1139","47926","27456","649","42.24","Z1: Battle Royale"
"World of Warcraft","7","World of Warcraft","772251480","32825760","45003","2634","43302","17322","736","23.53","World of Warcraft"
"Resident Evil 7: Biohazard","8","Resident Evil 7: Biohazard","614879220","17108940","224481","3497","58099","13792","383","35.94","Resident Evil 7: Biohazard"
"Minecraft","9","Minecraft","603291120","21646140","91193","1134","68114","13532","485","27.87","Minecraft"
"FIFA 17","10","FIFA 17","549042300","10965180","144454","717","36055","12315","245","50.07","FIFA 17"
"Talk Shows & Podcasts","11","Talk Shows & Podcasts","488500860","4675140","314999","697","16797","10957","104","104.49","Talk Shows & Podcasts"
"RuneScape","12","RuneScape","431179080","5544420","48173","209","8757","9672","124","77.77","RuneScape"
"Destiny","13","Destiny","384565140","68563860","20422","3088","77673","8626","1537","5.61","Destiny"
"SMITE","14","SMITE","359866380","8949120","103551","405","21572","8072","200","40.21","SMITE"
"World of Tanks","15","World of Tanks","346105320","9099960","35956","430","15530","7763","204","38.03","World of Tanks"
"For Honor","16","For Honor","332219460","3883920","146765","1633","16258","7452","87","85.54","For Honor"
"Heroes of the Storm","17","Heroes of the Storm","329321700","6715500","32608","253","11915","7387","150","49.04","Heroes of the Storm"
"Tom Clancy's Rainbow Six: Siege","18","Tom Clancy's Rainbow Six: Siege","318673620","22676520","31152","1043","67517","7148","508","14.05","Tom Clancy's Rainbow Six: Siege"
"StarCraft II","19","StarCraft II","314994240","3378960","39537","136","5433","7065","75","93.22","StarCraft II"
"Creative","20","Creative","301942320","13121280","33280","479","26789","6773","294","23.01","Creative"
"IRL","21","IRL","285205020","3431160","43932","204","12905","6397","76","83.12","IRL"
"Arma 3","22","Arma 3","261172920","6906660","43375","422","10912","5858","154","37.81","Arma 3"
"Grand Theft Auto V","23","Grand Theft Auto V","257619060","23093700","44491","1100","88229","5778","518","11.16","Grand Theft Auto V"
"Dead by Daylight","24","Dead by Daylight","257526300","8251800","21384","382","12214","5776","185","31.21","Dead by Daylight"
"Poker","25","Poker","247300920","2619720","36492","139","2779","5547","58","94.4","Poker"
