"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","6379512060","444467220","743971","20180","900461","147879","10302","14.35","Fortnite"
"League of Legends","2","League of Legends","4593234600","90785160","412412","3123","144060","106472","2104","50.59","League of Legends"
"Counter-Strike: Global Offensive","3","Counter-Strike: Global Offensive","4233885000","42237420","827050","1939","114229","98142","979","100.24","Counter-Strike: Global Offensive"
"World of Warcraft","4","World of Warcraft","2831518200","78850320","308114","6322","88373","65635","1827","35.91","World of Warcraft"
"IRL","5","IRL","2194215600","33845040","138512","1664","113466","50862","784","64.83","IRL"
"Dota 2","6","Dota 2","1782731160","25883520","161988","1271","34706","41324","599","68.88","Dota 2"
"PLAYERUNKNOWN'S BATTLEGROUNDS","7","PLAYERUNKNOWN'S BATTLEGROUNDS","1617627180","65235120","193470","2568","109844","37497","1512","24.8","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","8","Hearthstone","1452077040","9414240","80211","385","20633","33659","218","154.24","Hearthstone"
"Overwatch","9","Overwatch","1235285700","54183900","123275","2959","122273","28634","1256","22.8","Overwatch"
"Destiny 2","10","Destiny 2","1197658980","65234280","181929","8097","108813","27762","1512","18.36","Destiny 2"
"Call of Duty: Black Ops 4","11","Call of Duty: Black Ops 4","1188095100","18998160","586545","5660","66615","27540","440","62.54","Call of Duty: Black Ops 4"
"Marvel's Spider-Man","12","Marvel's Spider-Man","800835360","31348380","233622","4397","80264","18563","726","25.55","Marvel's Spider-Man"
"Grand Theft Auto V","13","Grand Theft Auto V","789487020","19829520","56935","922","48076","18300","459","39.81","Grand Theft Auto V"
"Dead by Daylight","14","Dead by Daylight","698890500","31330980","59528","1490","62578","16200","726","22.31","Dead by Daylight"
"Tom Clancy's Rainbow Six: Siege","15","Tom Clancy's Rainbow Six: Siege","648070740","46775460","48590","1880","130957","15022","1084","13.85","Tom Clancy's Rainbow Six: Siege"
"FIFA 19","16","FIFA 19","612806580","9766080","108755","2400","34539","14205","226","62.75","FIFA 19"
"Always On","17","Always On","567502200","766920","51368","20","59","13154","17","739.98","Always On"
"Path of Exile","18","Path of Exile","510839880","13162620","49860","1297","12925","11841","305","38.81","Path of Exile"
"Casino_old","19","Casino_old","417479700","1862880","51882","115","1336","9677","43","224.1","Casino_old"
"Rocket League","20","Rocket League","380699340","14492700","77098","684","59923","8824","335","26.27","Rocket League"
"Old School RuneScape","21","Old School RuneScape","330193320","5461320","105265","210","7683","7653","126","60.46","Old School RuneScape"
"SCUM","22","SCUM","328185600","15208200","78870","1832","31127","7607","352","21.58","SCUM"
"NBA 2K19","23","NBA 2K19","324998820","18860220","47830","2267","44194","7533","437","17.23","NBA 2K19"
"Poker","24","Poker","312290760","3459240","37456","191","3247","7239","80","90.28","Poker"
"Heroes of the Storm","25","Heroes of the Storm","292026600","7234080","32096","275","11735","6769","167","40.37","Heroes of the Storm"
