"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","12189572700","165447420","684417","6778","355568","273431","3711","73.68","Just Chatting"
"League of Legends","2","League of Legends","10296784020","202029420","2020835","8520","246211","230973","4531","50.97","League of Legends"
"Among Us","3","Among Us","6583015140","129659160","753943","9142","386445","147667","2908","50.77","Among Us"
"Fortnite","4","Fortnite","5133595440","346675020","388650","15148","533320","115154","7776","14.81","Fortnite"
"Call Of Duty: Modern Warfare","5","Call Of Duty: Modern Warfare","4573030680","399239160","396270","22121","428944","102580","8955","11.45","Call Of Duty: Modern Warfare"
"FIFA 21","6","FIFA 21","3667730160","63627060","474733","3830","100606","82272","1427","57.64","FIFA 21"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","3513648240","68299740","434419","2976","124370","78816","1532","51.44","Counter-Strike: Global Offensive"
"Grand Theft Auto V","8","Grand Theft Auto V","3349982700","73539840","202629","3627","98469","75145","1649","45.55","Grand Theft Auto V"
"Minecraft","9","Minecraft","2987893020","108165780","472079","4489","235174","67023","2426","27.62","Minecraft"
"Phasmophobia","10","Phasmophobia","2915947560","112573440","256449","8886","223859","65409","2525","25.9","Phasmophobia"
"VALORANT","11","VALORANT","2241723300","116839680","165457","4681","176347","50285","2620","19.19","VALORANT"
"Dota 2","12","Dota 2","2011410360","35969580","155576","1573","28700","45119","806","55.92","Dota 2"
"World of Warcraft","13","World of Warcraft","2005787640","67273800","210166","3721","67486","44992","1509","29.82","World of Warcraft"
"Genshin Impact","14","Genshin Impact","1912552620","116887020","142744","5816","181338","42901","2621","16.36","Genshin Impact"
"Apex Legends","15","Apex Legends","1573703100","121416840","85711","4417","161167","35300","2723","12.96","Apex Legends"
"Hearthstone","16","Hearthstone","1456280940","11403780","142885","492","14247","32666","255","127.7","Hearthstone"
"Rocket League","17","Rocket League","1321969560","72644640","243644","3196","263835","29653","1629","18.2","Rocket League"
"Special Events","18","Special Events","1312703940","2018280","652366","283","4720","29446","45","650.41","Special Events"
"Music","19","Music","1211588280","43439460","293752","1929","40428","27177","974","27.89","Music"
"Dead by Daylight","20","Dead by Daylight","1131423660","56511660","96000","3105","83571","25379","1267","20.02","Dead by Daylight"
"Teamfight Tactics","21","Teamfight Tactics","1007652120","20291400","122784","735","36358","22603","455","49.66","Teamfight Tactics"
"Escape From Tarkov","22","Escape From Tarkov","884566380","40400820","86085","1592","29458","19842","906","21.89","Escape From Tarkov"
"Slots","23","Slots","776427840","5317860","112324","214","3583","17416","119","146","Slots"
"Overwatch","24","Overwatch","761173260","49505880","71982","2489","83528","17074","1110","15.38","Overwatch"
"Fall Guys: Ultimate Knockout","25","Fall Guys: Ultimate Knockout","716914800","27531960","241811","2953","108676","16081","617","26.04","Fall Guys: Ultimate Knockout"
