"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7088590980","541629780","418403","22408","1013029","159008","12149","13.09","Fortnite"
"League of Legends","2","League of Legends","4324491060","105748080","341821","3480","174717","97005","2372","40.89","League of Legends"
"Just Chatting","3","Just Chatting","3263205180","41060460","223139","1847","115690","73198","921","79.47","Just Chatting"
"Dota 2","4","Dota 2","1977974640","27935400","255770","1310","37524","44369","626","70.81","Dota 2"
"Hearthstone","5","Hearthstone","1868235360","11344560","205322","1181","25679","41907","254","164.68","Hearthstone"
"PLAYERUNKNOWN'S BATTLEGROUNDS","6","PLAYERUNKNOWN'S BATTLEGROUNDS","1690785360","63666420","124698","2399","112351","37926","1428","26.56","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1534086840","52475160","273822","3173","150135","34411","1177","29.23","Counter-Strike: Global Offensive"
"Super Smash Bros. Ultimate","8","Super Smash Bros. Ultimate","1459988040","20591220","226029","3619","33515","32749","461","70.9","Super Smash Bros. Ultimate"
"Atlas","9","Atlas","1160434620","9056640","318887","2104","14786","26030","203","128.13","Atlas"
"Call of Duty: Black Ops 4","10","Call of Duty: Black Ops 4","1117420320","72558960","207622","3893","175422","25065","1627","15.4","Call of Duty: Black Ops 4"
"Overwatch","11","Overwatch","1011732180","58133340","50545","2496","132283","22694","1304","17.4","Overwatch"
"FIFA 19","12","FIFA 19","980407020","18591240","167405","1063","56638","21992","417","52.73","FIFA 19"
"Path of Exile","13","Path of Exile","966126600","19949880","115737","3008","21982","21671","447","48.43","Path of Exile"
"World of Warcraft","14","World of Warcraft","822949980","34753080","63603","2291","46933","18460","779","23.68","World of Warcraft"
"Dead by Daylight","15","Dead by Daylight","593670780","26352480","46689","1057","45644","13316","591","22.53","Dead by Daylight"
"Grand Theft Auto V","16","Grand Theft Auto V","562455240","19927620","59845","1018","55273","12616","447","28.22","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","17","Tom Clancy's Rainbow Six: Siege","557458500","44724300","53408","1776","124937","12504","1003","12.46","Tom Clancy's Rainbow Six: Siege"
"Casino","18","Casino","470014560","2540400","95879","179","1947","10543","56","185.02","Casino"
"LOST ARK","19","LOST ARK","469469760","7018020","47942","451","4804","10530","157","66.89","LOST ARK"
"Sea of Thieves","20","Sea of Thieves","465834900","7607100","70031","537","15655","10449","170","61.24","Sea of Thieves"
"Destiny 2","21","Destiny 2","432227520","32719380","109447","2663","54062","9695","733","13.21","Destiny 2"
"Warframe","22","Warframe","402730080","10050660","49705","441","20325","9033","225","40.07","Warframe"
"Old School RuneScape","23","Old School RuneScape","400230660","6866940","91808","249","10688","8977","154","58.28","Old School RuneScape"
"Music","24","Music","395159100","12392400","50673","387","13559","8864","277","31.89","Music"
"Minecraft","25","Minecraft","383858220","17794860","35755","769","49820","8610","399","21.57","Minecraft"
