"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","6258314520","69357960","952308","2591","111071","140383","1555","90.23","League of Legends"
"Hearthstone","2","Hearthstone","2147954040","10113900","192995","381","23322","48182","226","212.38","Hearthstone"
"Counter-Strike: Global Offensive","3","Counter-Strike: Global Offensive","2126811660","34634580","336075","1646","86193","47707","776","61.41","Counter-Strike: Global Offensive"
"Dota 2","4","Dota 2","2017426620","18337500","217120","860","28069","45254","411","110.02","Dota 2"
"World of Warcraft","5","World of Warcraft","1129174200","35866320","105419","2324","49782","25329","804","31.48","World of Warcraft"
"Overwatch","6","Overwatch","879220740","37205820","118438","2047","95883","19722","834","23.63","Overwatch"
"Z1: Battle Royale","7","Z1: Battle Royale","784741320","16596300","60722","595","27505","17602","372","47.28","Z1: Battle Royale"
"Destiny","8","Destiny","590746500","49347240","92396","2568","85869","13251","1106","11.97","Destiny"
"FIFA 17","9","FIFA 17","539967300","12832920","56735","903","40416","12112","287","42.08","FIFA 17"
"Battlefield 1","10","Battlefield 1","477052620","16973220","80858","1548","68653","10701","380","28.11","Battlefield 1"
"Talk Shows & Podcasts","11","Talk Shows & Podcasts","347188320","3620400","62023","176","13893","7787","81","95.9","Talk Shows & Podcasts"
"Minecraft","12","Minecraft","272672100","17282340","39662","884","55027","6116","387","15.78","Minecraft"
"RuneScape","13","RuneScape","265607700","4192800","23514","169","6564","5958","94","63.35","RuneScape"
"Creative","14","Creative","264024600","10652460","28614","377","22433","5922","238","24.79","Creative"
"Call of Duty: Black Ops III","15","Call of Duty: Black Ops III","261956940","31431540","25278","1752","101722","5876","705","8.33","Call of Duty: Black Ops III"
"Dead by Daylight","16","Dead by Daylight","253455540","6359220","25113","405","10163","5685","142","39.86","Dead by Daylight"
"World of Tanks","17","World of Tanks","253012320","7030680","51897","350","11398","5675","157","35.99","World of Tanks"
"StarCraft II","18","StarCraft II","229981800","2885940","46305","117","4552","5158","64","79.69","StarCraft II"
"Arma 3","19","Arma 3","205376280","5220960","20772","281","7807","4606","117","39.34","Arma 3"
"Dark Souls III","20","Dark Souls III","200760360","7683180","63452","1061","22431","4503","172","26.13","Dark Souls III"
"Heroes of the Storm","21","Heroes of the Storm","197558520","4687260","41122","192","8043","4431","105","42.15","Heroes of the Storm"
"Sid Meier's Civilization VI","22","Sid Meier's Civilization VI","190156200","2310000","47793","449","5496","4265","51","82.32","Sid Meier's Civilization VI"
"Street Fighter V","23","Street Fighter V","172086300","1494720","45869","68","4060","3860","33","115.13","Street Fighter V"
"Mafia III","24","Mafia III","171372720","8074260","79661","1429","26090","3844","181","21.22","Mafia III"
"Gears of War 4","25","Gears of War 4","167510220","9484740","33818","1239","27314","3757","212","17.66","Gears of War 4"
