"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","8676139560","458744340","576926","18000","930299","194619","10290","18.91","Fortnite"
"League of Legends","2","League of Legends","4925300340","86544180","504394","2820","140412","110482","1941","56.91","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","2650302300","89848200","221743","3227","163947","59450","2015","29.5","PLAYERUNKNOWN'S BATTLEGROUNDS"
"IRL","4","IRL","2439916080","33517020","247304","1135","97063","54731","751","72.8","IRL"
"Dota 2","5","Dota 2","2343866160","25640460","363879","1210","33916","52576","575","91.41","Dota 2"
"Hearthstone","6","Hearthstone","2023873500","12189180","95676","483","27186","45398","273","166.04","Hearthstone"
"Overwatch","7","Overwatch","1889604000","57512520","201890","2982","135510","42386","1290","32.86","Overwatch"
"Counter-Strike: Global Offensive","8","Counter-Strike: Global Offensive","1585767120","36747420","242438","1566","103243","35571","824","43.15","Counter-Strike: Global Offensive"
"World of Warcraft","9","World of Warcraft","795041400","33935460","70073","2032","46595","17834","761","23.43","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","700719780","18417420","76870","881","44093","15718","413","38.05","Grand Theft Auto V"
"Detroit: Become Human","11","Detroit: Become Human","565958400","3794520","236767","856","16222","12695","85","149.15","Detroit: Become Human"
"Tom Clancy's Rainbow Six: Siege","12","Tom Clancy's Rainbow Six: Siege","564808980","33236700","181907","1310","99068","12669","745","16.99","Tom Clancy's Rainbow Six: Siege"
"FIFA 18","13","FIFA 18","427209420","10497780","87840","1216","36954","9582","235","40.7","FIFA 18"
"Destiny 2","14","Destiny 2","422112960","30846780","67071","4991","55443","9468","691","13.68","Destiny 2"
"Talk Shows & Podcasts","15","Talk Shows & Podcasts","373410180","2723040","167421","172","8767","8376","61","137.13","Talk Shows & Podcasts"
"Dark Souls","16","Dark Souls","359867760","6330300","103455","871","14997","8072","141","56.85","Dark Souls"
"Conan Exiles","17","Conan Exiles","336097620","12081840","89655","712","17505","7539","271","27.82","Conan Exiles"
"Casino_old","18","Casino_old","292431180","1794000","28447","93","1265","6559","40","163.01","Casino_old"
"Dead by Daylight","19","Dead by Daylight","292254540","14089080","34931","647","24224","6555","316","20.74","Dead by Daylight"
"Poker","20","Poker","290247420","2551920","33916","153","2837","6510","57","113.74","Poker"
"Music","21","Music","283278480","9025980","19525","268","9876","6354","202","31.38","Music"
"RuneScape","22","RuneScape","274146300","6895800","20452","252","9852","6149","154","39.76","RuneScape"
"StarCraft II","23","StarCraft II","261564540","4084020","22793","157","6744","5867","91","64.05","StarCraft II"
"Creative","24","Creative","252881280","17315760","20131","624","32806","5672","388","14.6","Creative"
"Escape From Tarkov","25","Escape From Tarkov","241763100","9630120","23997","420","10592","5423","216","25.1","Escape From Tarkov"
