"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4465331940","73759440","377429","2620","118820","103507","1709","60.54","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","2","PLAYERUNKNOWN'S BATTLEGROUNDS","4384342260","118052460","216000","4354","178706","101630","2736","37.14","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","3","Hearthstone","2296648620","11136600","127786","408","24288","53237","258","206.23","Hearthstone"
"Dota 2","4","Dota 2","1742809680","18119700","206831","718","26486","40398","420","96.18","Dota 2"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","1637427900","33442560","287694","1521","91958","37956","775","48.96","Counter-Strike: Global Offensive"
"Destiny 2","6","Destiny 2","1135640880","90252300","203487","14140","131862","26324","2092","12.58","Destiny 2"
"IRL","7","IRL","1056208680","15484200","137735","558","47742","24483","358","68.21","IRL"
"Overwatch","8","Overwatch","1004804700","45482700","65265","2655","111470","23291","1054","22.09","Overwatch"
"World of Warcraft","9","World of Warcraft","690148860","27901020","66513","1677","38641","15997","646","24.74","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","533806140","16596660","48385","835","45911","12373","384","32.16","Grand Theft Auto V"
"FIFA 18","11","FIFA 18","393976020","5605680","77228","1550","22276","9132","129","70.28","FIFA 18"
"Tom Clancy's Rainbow Six: Siege","12","Tom Clancy's Rainbow Six: Siege","359396700","23805780","45911","1293","69176","8330","551","15.1","Tom Clancy's Rainbow Six: Siege"
"Rocket League","13","Rocket League","331258560","8831640","85291","429","34138","7678","204","37.51","Rocket League"
"Heroes of the Storm","14","Heroes of the Storm","325326660","8130180","29333","301","14140","7541","188","40.01","Heroes of the Storm"
"RuneScape","15","RuneScape","314073600","5401620","61019","215","9259","7280","125","58.14","RuneScape"
"Fortnite","16","Fortnite","282199800","12595020","77600","2146","50095","6541","291","22.41","Fortnite"
"Talk Shows & Podcasts","17","Talk Shows & Podcasts","274224180","2623680","76251","279","9154","6356","60","104.52","Talk Shows & Podcasts"
"Path of Exile","18","Path of Exile","270316740","8516700","25862","382","11509","6266","197","31.74","Path of Exile"
"Minecraft","19","Minecraft","241265940","13441560","51860","684","37948","5592","311","17.95","Minecraft"
"Z1: Battle Royale","20","Z1: Battle Royale","239394420","12492300","38273","598","23001","5549","289","19.16","Z1: Battle Royale"
"Divinity: Original Sin II","21","Divinity: Original Sin II","224858880","5512980","56005","394","8886","5212","127","40.79","Divinity: Original Sin II"
"Dead by Daylight","22","Dead by Daylight","215435220","10955520","34493","544","19934","4993","253","19.66","Dead by Daylight"
"Poker","23","Poker","208018680","2114940","27167","132","2334","4821","49","98.36","Poker"
"StarCraft II","24","StarCraft II","199807380","3279300","35322","131","5328","4631","76","60.93","StarCraft II"
"Creative","25","Creative","198889440","13023300","16004","488","25522","4610","301","15.27","Creative"
