"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5670870660","75841740","599114","2585","117734","127206","1701","74.77","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","4317792780","44551860","784934","1940","104144","96854","999","96.92","Counter-Strike: Global Offensive"
"Dota 2","3","Dota 2","2553925380","21792900","339020","952","34612","57288","488","117.19","Dota 2"
"Hearthstone","4","Hearthstone","2356221120","12509820","250667","464","29672","52853","280","188.35","Hearthstone"
"Tom Clancy's The Division","5","Tom Clancy's The Division","1182001800","60527400","159832","5280","158048","26514","1357","19.53","Tom Clancy's The Division"
"Call of Duty: Black Ops III","6","Call of Duty: Black Ops III","858299160","74274480","118602","3819","209865","19253","1666","11.56","Call of Duty: Black Ops III"
"Minecraft","7","Minecraft","601854300","26904660","90527","1438","78524","13500","603","22.37","Minecraft"
"Talk Shows & Podcasts","8","Talk Shows & Podcasts","461469300","3511560","106016","165","11144","10351","78","131.41","Talk Shows & Podcasts"
"World of Warcraft","9","World of Warcraft","412387200","17718060","45853","1078","28167","9250","397","23.27","World of Warcraft"
"Stardew Valley","10","Stardew Valley","355518660","8264100","50884","375","15288","7974","185","43.02","Stardew Valley"
"Dark Souls III","11","Dark Souls III","335844180","2780160","121710","545","4293","7533","62","120.8","Dark Souls III"
"The Culling","12","The Culling","321534780","4643040","64464","320","10663","7212","104","69.25","The Culling"
"RuneScape","13","RuneScape","318556320","4511100","72411","214","7647","7145","101","70.62","RuneScape"
"StarCraft II","14","StarCraft II","316905360","3483120","78166","131","5609","7108","78","90.98","StarCraft II"
"World of Tanks","15","World of Tanks","302764680","7610940","81676","361","14125","6791","170","39.78","World of Tanks"
"Street Fighter V","16","Street Fighter V","300273780","3661380","98493","212","11677","6735","82","82.01","Street Fighter V"
"Z1: Battle Royale","17","Z1: Battle Royale","300081420","9229620","42113","386","15005","6731","207","32.51","Z1: Battle Royale"
"Destiny","18","Destiny","257712120","27046560","98649","1768","49191","5780","606","9.53","Destiny"
"Creative","19","Creative","256514280","8858220","29740","342","18119","5754","198","28.96","Creative"
"Music","20","Music","255305220","1988340","137263","99","4832","5726","44","128.4","Music"
"Path of Exile","21","Path of Exile","233761560","5732700","22761","678","6648","5243","128","40.78","Path of Exile"
"Heroes of the Storm","22","Heroes of the Storm","216696720","6268560","43138","258","12413","4860","140","34.57","Heroes of the Storm"
"Poker","23","Poker","212071500","2517960","25720","176","2592","4757","56","84.22","Poker"
"Black Desert Online","24","Black Desert Online","195837660","7931160","18978","647","11835","4392","177","24.69","Black Desert Online"
"FIFA 16","25","FIFA 16","195147480","9844200","26764","569","36059","4377","220","19.82","FIFA 16"
