"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4125406380","83147460","324792","3235","137669","92539","1865","49.62","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","2","PLAYERUNKNOWN'S BATTLEGROUNDS","3321856920","119538000","279435","4821","214751","74514","2681","27.79","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","3","Hearthstone","2567323140","16504200","201846","1538","35232","57589","370","155.56","Hearthstone"
"Dota 2","4","Dota 2","1928843820","21466860","293383","815","30493","43267","481","89.85","Dota 2"
"Fortnite","5","Fortnite","1927748820","88717920","126805","3848","208677","43242","1990","21.73","Fortnite"
"IRL","6","IRL","1762277700","22400280","172282","1123","65199","39530","502","78.67","IRL"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1117551900","38520240","229676","1738","103821","25068","864","29.01","Counter-Strike: Global Offensive"
"Overwatch","8","Overwatch","1070260200","52546800","85699","2399","118792","24007","1178","20.37","Overwatch"
"World of Warcraft","9","World of Warcraft","849707220","37736400","54073","2497","48039","19060","846","22.52","World of Warcraft"
"Grand Theft Auto V","10","Grand Theft Auto V","646421340","22083720","93433","1189","61016","14500","495","29.27","Grand Theft Auto V"
"Path of Exile","11","Path of Exile","533100720","11733300","46710","1490","12779","11958","263","45.43","Path of Exile"
"FIFA 18","12","FIFA 18","476933280","10859160","56847","612","33584","10698","243","43.92","FIFA 18"
"Call of Duty: WWII","13","Call of Duty: WWII","409028100","14601300","127581","841","74779","9175","327","28.01","Call of Duty: WWII"
"Tom Clancy's Rainbow Six: Siege","14","Tom Clancy's Rainbow Six: Siege","350251140","27416880","64807","1196","79757","7856","615","12.78","Tom Clancy's Rainbow Six: Siege"
"They Are Billions","15","They Are Billions","344603280","2656440","66322","248","5290","7729","59","129.72","They Are Billions"
"RuneScape","16","RuneScape","291943980","6261420","79031","244","8552","6548","140","46.63","RuneScape"
"Destiny 2","17","Destiny 2","279471060","30903960","69366","5034","63961","6268","693","9.04","Destiny 2"
"Talk Shows & Podcasts","18","Talk Shows & Podcasts","267638100","2668920","57099","169","8777","6003","59","100.28","Talk Shows & Podcasts"
"Dead by Daylight","19","Dead by Daylight","261536520","12064740","39703","500","19316","5866","270","21.68","Dead by Daylight"
"Minecraft","20","Minecraft","260611920","13807560","50986","667","39357","5845","309","18.87","Minecraft"
"Always On","21","Always On","251818200","575880","19963","16","46","5648","12","437.28","Always On"
"Creative","22","Creative","248989440","13954380","51358","527","27806","5585","313","17.84","Creative"
"Heroes of the Storm","23","Heroes of the Storm","245328420","8115540","17821","305","13788","5503","182","30.23","Heroes of the Storm"
"StarCraft II","24","StarCraft II","219019500","4199640","15737","181","7652","4912","94","52.15","StarCraft II"
"World of Tanks","25","World of Tanks","210138540","7319940","28501","338","10332","4713","164","28.71","World of Tanks"
