"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5680806300","79325640","873340","2848","125262","127429","1779","71.61","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","2","PLAYERUNKNOWN'S BATTLEGROUNDS","3655915200","106817220","182187","3696","169434","82007","2396","34.23","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","3","Hearthstone","1994044380","10579560","202918","442","22526","44729","237","188.48","Hearthstone"
"Dota 2","4","Dota 2","1897417620","18957300","279878","750","27120","42562","425","100.09","Dota 2"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","1703302140","35582820","576773","1645","95811","38207","798","47.87","Counter-Strike: Global Offensive"
"IRL","6","IRL","1445957700","16994940","213906","618","52232","32435","381","85.08","IRL"
"FIFA 18","7","FIFA 18","1019192760","16704480","86579","974","47647","22862","374","61.01","FIFA 18"
"Fortnite","8","Fortnite","969314760","58934160","79181","2325","162863","21743","1321","16.45","Fortnite"
"Warframe","9","Warframe","891313380","13363740","88701","718","25376","19993","299","66.7","Warframe"
"Overwatch","10","Overwatch","874796280","43743780","70145","2659","109231","19623","981","20","Overwatch"
"Destiny 2","11","Destiny 2","711155340","58657500","226206","9503","114152","15952","1315","12.12","Destiny 2"
"World of Warcraft","12","World of Warcraft","588008280","27783360","79204","1722","37948","13189","623","21.16","World of Warcraft"
"Grand Theft Auto V","13","Grand Theft Auto V","452754600","14722020","36449","713","39006","10156","330","30.75","Grand Theft Auto V"
"South Park: The Fractured But Whole","14","South Park: The Fractured But Whole","415323540","5950800","161626","1059","18053","9316","133","69.79","South Park: The Fractured But Whole"
"The Evil Within 2","15","The Evil Within 2","390605760","5540820","157125","890","15220","8761","124","70.5","The Evil Within 2"
"Cuphead","16","Cuphead","387348660","10526100","73764","808","46329","8688","236","36.8","Cuphead"
"Middle-earth: Shadow of War","17","Middle-earth: Shadow of War","318890640","7569840","120873","978","18238","7153","169","42.13","Middle-earth: Shadow of War"
"Dead by Daylight","18","Dead by Daylight","290055780","12718800","40902","819","21297","6506","285","22.81","Dead by Daylight"
"Twitch Presents","19","Twitch Presents","283329420","133740","43035","14","124","6355","3","2118.51","Twitch Presents"
"Heroes of the Storm","20","Heroes of the Storm","272537760","7792980","32701","295","13638","6113","174","34.97","Heroes of the Storm"
"Tom Clancy's Rainbow Six: Siege","21","Tom Clancy's Rainbow Six: Siege","269265300","19242180","48619","845","59750","6040","431","13.99","Tom Clancy's Rainbow Six: Siege"
"Rocket League","22","Rocket League","264589980","9786060","83285","437","35597","5935","219","27.04","Rocket League"
"Minecraft","23","Minecraft","257280120","13157580","38970","622","35900","5771","295","19.55","Minecraft"
"Casino_old","24","Casino_old","253944540","873000","36379","43","792","5696","19","290.89","Casino_old"
"Talk Shows & Podcasts","25","Talk Shows & Podcasts","251182200","2751360","108918","159","8665","5634","61","91.29","Talk Shows & Podcasts"
