"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7611599340","407860860","1460297","23749","847488","176439","9454","18.66","Fortnite"
"League of Legends","2","League of Legends","4349492640","79633740","241343","3310","136011","100822","1845","54.62","League of Legends"
"Dota 2","3","Dota 2","2885911740","25239060","341454","1126","34627","66896","585","114.34","Dota 2"
"IRL","4","IRL","2634095760","35910000","165033","1285","111721","61059","832","73.35","IRL"
"PLAYERUNKNOWN'S BATTLEGROUNDS","5","PLAYERUNKNOWN'S BATTLEGROUNDS","2249318520","82181820","197029","3026","149726","52139","1905","27.37","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","6","Hearthstone","1657768980","10325220","101753","417","22763","38427","239","160.56","Hearthstone"
"E3 2018","7","E3 2018","1407566580","3898200","1817345","5125","13346","32627","90","361.08","E3 2018"
"Overwatch","8","Overwatch","1387664280","48149760","220801","1875","119586","32166","1116","28.82","Overwatch"
"Counter-Strike: Global Offensive","9","Counter-Strike: Global Offensive","1313869020","36011580","262105","1578","105655","30455","834","36.48","Counter-Strike: Global Offensive"
"Realm Royale","10","Realm Royale","1104725400","29170320","195317","2408","88418","25607","676","37.87","Realm Royale"
"Grand Theft Auto V","11","Grand Theft Auto V","731028360","18569940","68403","868","46694","16945","430","39.37","Grand Theft Auto V"
"World of Warcraft","12","World of Warcraft","720366960","30228840","138109","1687","45116","16698","700","23.83","World of Warcraft"
"Jurassic World Evolution","13","Jurassic World Evolution","611703660","9266760","202465","1717","18478","14179","214","66.01","Jurassic World Evolution"
"Path of Exile","14","Path of Exile","576864660","15325920","84219","1987","16866","13371","355","37.64","Path of Exile"
"Tom Clancy's Rainbow Six: Siege","15","Tom Clancy's Rainbow Six: Siege","531685560","36590040","60790","1977","106227","12324","848","14.53","Tom Clancy's Rainbow Six: Siege"
"Heroes of the Storm","16","Heroes of the Storm","525941820","8690820","74026","333","15134","12191","201","60.52","Heroes of the Storm"
"Dead by Daylight","17","Dead by Daylight","492417540","18126060","50339","793","29956","11414","420","27.17","Dead by Daylight"
"RuneScape","18","RuneScape","427352400","6721980","70446","255","9704","9906","155","63.58","RuneScape"
"Dark Souls","19","Dark Souls","347026020","8207280","54056","474","16070","8044","190","42.28","Dark Souls"
"StarCraft II","20","StarCraft II","297549180","3673560","61872","136","6228","6897","85","81","StarCraft II"
"Talk Shows & Podcasts","21","Talk Shows & Podcasts","295705800","3034740","54624","354","9348","6854","70","97.44","Talk Shows & Podcasts"
"Warframe","22","Warframe","287814780","8924640","38079","559","19203","6671","206","32.25","Warframe"
"Destiny 2","23","Destiny 2","276029280","22921860","177513","1194","43290","6398","531","12.04","Destiny 2"
"Music","24","Music","257279340","9575400","40457","295","10203","5963","221","26.87","Music"
"Creative","25","Creative","249049980","16690620","15642","660","31942","5773","386","14.92","Creative"
