"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Apex Legends","1","Apex Legends","7385458140","334820220","666868","18932","663781","183444","8316","22.06","Apex Legends"
"League of Legends","2","League of Legends","5699477760","106742580","387330","4518","167824","141566","2651","53.39","League of Legends"
"Fortnite","3","Fortnite","5043897540","434319000","658887","67544","810687","125283","10787","11.61","Fortnite"
"Just Chatting","4","Just Chatting","3101885880","44018820","182185","2336","121349","77046","1093","70.47","Just Chatting"
"Dota 2","5","Dota 2","3015554160","31683420","272771","1601","43882","74901","786","95.18","Dota 2"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","2835366540","44691060","524985","2575","120461","70426","1110","63.44","Counter-Strike: Global Offensive"
"Overwatch","7","Overwatch","1422469320","43041900","289347","2420","102530","35332","1069","33.05","Overwatch"
"World of Warcraft","8","World of Warcraft","1302652200","40753020","211037","2747","46004","32355","1012","31.96","World of Warcraft"
"PLAYERUNKNOWN'S BATTLEGROUNDS","9","PLAYERUNKNOWN'S BATTLEGROUNDS","1077845880","47361540","98146","2450","78993","26772","1176","22.76","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","10","Hearthstone","821664180","7520040","58328","292","15298","20408","186","109.26","Hearthstone"
"Grand Theft Auto V","11","Grand Theft Auto V","768976080","21366720","76912","1189","46978","19100","530","35.99","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","12","Tom Clancy's Rainbow Six: Siege","677159760","37769220","223099","2244","110696","16819","938","17.93","Tom Clancy's Rainbow Six: Siege"
"FIFA 19","13","FIFA 19","648256860","15453840","92237","1082","44591","16101","383","41.95","FIFA 19"
"Call of Duty: Black Ops 4","14","Call of Duty: Black Ops 4","632847600","52897800","141895","4227","104237","15719","1313","11.96","Call of Duty: Black Ops 4"
"Anthem","15","Anthem","549684360","24640740","145975","3940","54212","13653","612","22.31","Anthem"
"Resident Evil 2","16","Resident Evil 2","476623260","23764860","58175","1977","62263","11838","590","20.06","Resident Evil 2"
"Super Smash Bros. Ultimate","17","Super Smash Bros. Ultimate","475983000","6978480","168665","462","14256","11822","173","68.21","Super Smash Bros. Ultimate"
"Dead by Daylight","18","Dead by Daylight","437572440","21592860","50797","999","38382","10868","536","20.26","Dead by Daylight"
"Old School RuneScape","19","Old School RuneScape","390060960","6746160","34040","287","10640","9688","167","57.82","Old School RuneScape"
"Metro Exodus","20","Metro Exodus","379763460","8604480","154978","1593","20142","9432","213","44.14","Metro Exodus"
"Minecraft","21","Minecraft","376020720","19935960","82949","933","52021","9339","495","18.86","Minecraft"
"StarCraft II","22","StarCraft II","370513500","3662940","50967","156","5956","9203","90","101.15","StarCraft II"
"Magic: The Gathering","23","Magic: The Gathering","366219540","5221860","60503","266","8979","9096","129","70.13","Magic: The Gathering"
"Sea of Thieves","24","Sea of Thieves","357730500","12945060","55263","1303","25920","8885","321","27.63","Sea of Thieves"
"Music","25","Music","316537620","12002220","32127","421","13490","7862","298","26.37","Music"
