"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7103470440","363751620","862789","17082","741423","159342","8159","19.53","Fortnite"
"League of Legends","2","League of Legends","5329221780","95388600","362400","3212","147060","119542","2139","55.87","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","3","PLAYERUNKNOWN'S BATTLEGROUNDS","2826355500","120484380","325535","4278","210438","63399","2702","23.46","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","4","Dota 2","2406623640","25281600","397940","1473","34579","53984","567","95.19","Dota 2"
"Overwatch","5","Overwatch","1923218880","59505120","239954","2852","135198","43140","1334","32.32","Overwatch"
"IRL","6","IRL","1901360940","29128200","134195","998","83712","42650","653","65.28","IRL"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","1684693560","47402280","490657","2336","121083","37790","1063","35.54","Counter-Strike: Global Offensive"
"Hearthstone","8","Hearthstone","1684453440","11388720","149880","399","26716","37784","255","147.91","Hearthstone"
"Sea of Thieves","9","Sea of Thieves","934015560","32591880","255998","4908","66327","20951","731","28.66","Sea of Thieves"
"World of Warcraft","10","World of Warcraft","678203100","37694520","56918","2139","48940","15213","845","17.99","World of Warcraft"
"Grand Theft Auto V","11","Grand Theft Auto V","626155080","19115160","50916","920","47821","14045","428","32.76","Grand Theft Auto V"
"Far Cry 5","12","Far Cry 5","613083180","11496480","258270","2864","46193","13752","257","53.33","Far Cry 5"
"Tom Clancy's Rainbow Six: Siege","13","Tom Clancy's Rainbow Six: Siege","565220040","42012780","54414","2490","119029","12678","942","13.45","Tom Clancy's Rainbow Six: Siege"
"Path of Exile","14","Path of Exile","523972800","13943820","59007","1813","14567","11753","312","37.58","Path of Exile"
"StarCraft II","15","StarCraft II","500208840","4691220","60745","193","7480","11220","105","106.63","StarCraft II"
"Rocket League","16","Rocket League","331840440","12309660","96377","565","53875","7443","276","26.96","Rocket League"
"RuneScape","17","RuneScape","327712560","7143660","74563","267","9889","7351","160","45.87","RuneScape"
"A Way Out","18","A Way Out","325389720","5382300","233484","1587","21244","7299","120","60.46","A Way Out"
"Heroes of the Storm","19","Heroes of the Storm","320279580","8323740","48779","314","13757","7184","186","38.48","Heroes of the Storm"
"Talk Shows & Podcasts","20","Talk Shows & Podcasts","304889400","2653620","77922","381","9049","6839","59","114.9","Talk Shows & Podcasts"
"Warhammer: Vermintide 2","21","Warhammer: Vermintide 2","279041700","11608920","77418","854","24407","6259","260","24.04","Warhammer: Vermintide 2"
"FIFA 18","22","FIFA 18","277345380","9659580","37994","646","32105","6221","216","28.71","FIFA 18"
"Creative","23","Creative","267101220","17895660","21502","659","33251","5991","401","14.93","Creative"
"Music","24","Music","261401280","8096100","14313","249","9143","5863","181","32.29","Music"
"Dead by Daylight","25","Dead by Daylight","245760480","12748080","16458","470","21545","5512","285","19.28","Dead by Daylight"
