"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","10892194920","156157800","839576","6961","314436","244329","3502","69.75","Just Chatting"
"VALORANT","2","VALORANT","8686823100","285807900","790635","16287","363116","194859","6411","30.39","VALORANT"
"League of Legends","3","League of Legends","7661908320","211061700","504630","8347","245122","171868","4734","36.3","League of Legends"
"Fortnite","4","Fortnite","7370531340","614742240","623197","39752","749518","165332","13789","11.99","Fortnite"
"Grand Theft Auto V","5","Grand Theft Auto V","6002999820","126114840","373709","5847","197660","134656","2828","47.6","Grand Theft Auto V"
"Call Of Duty: Modern Warfare","6","Call Of Duty: Modern Warfare","5499887040","351727560","352914","14850","420751","123371","7889","15.64","Call Of Duty: Modern Warfare"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","4607208480","107027280","380494","4853","187999","103346","2400","43.05","Counter-Strike: Global Offensive"
"Dota 2","8","Dota 2","3061430820","43044060","199291","1758","33057","68672","965","71.12","Dota 2"
"Minecraft","9","Minecraft","2465486280","106930320","481719","4034","210206","55304","2398","23.06","Minecraft"
"FIFA 20","10","FIFA 20","2423410500","56481420","256298","4961","105866","54360","1266","42.91","FIFA 20"
"World of Warcraft","11","World of Warcraft","2202139620","83921940","123076","4731","69030","49397","1882","26.24","World of Warcraft"
"Apex Legends","12","Apex Legends","1847533140","143391000","222753","8000","178385","41443","3216","12.88","Apex Legends"
"Music","13","Music","1600503180","46525320","170584","2168","50281","35901","1043","34.4","Music"
"Hearthstone","14","Hearthstone","1356690660","12400440","66948","483","15434","30432","278","109.41","Hearthstone"
"Teamfight Tactics","15","Teamfight Tactics","1286465700","20279520","68163","711","37590","28857","454","63.44","Teamfight Tactics"
"Escape From Tarkov","16","Escape From Tarkov","1026849600","41373060","125105","4195","35078","23033","928","24.82","Escape From Tarkov"
"Dead by Daylight","17","Dead by Daylight","983465580","49395240","128138","2183","62995","22060","1108","19.91","Dead by Daylight"
"Overwatch","18","Overwatch","889155540","56146860","142904","2434","87808","19945","1259","15.84","Overwatch"
"PLAYERUNKNOWN'S BATTLEGROUNDS","19","PLAYERUNKNOWN'S BATTLEGROUNDS","853046880","35681940","72660","1220","40736","19135","800","23.91","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Slots","20","Slots","848419260","5230980","100892","225","4263","19031","117","162.19","Slots"
"Sea of Thieves","21","Sea of Thieves","802935900","23085420","76126","992","33764","18011","517","34.78","Sea of Thieves"
"Terraria","22","Terraria","797965140","23245140","125768","4989","39524","17899","521","34.33","Terraria"
"Tom Clancy's Rainbow Six: Siege","23","Tom Clancy's Rainbow Six: Siege","689009820","80286060","106988","2972","139671","15455","1800","8.58","Tom Clancy's Rainbow Six: Siege"
"Animal Crossing: New Horizons","24","Animal Crossing: New Horizons","609046920","18360060","58370","862","25999","13661","411","33.17","Animal Crossing: New Horizons"
"Old School RuneScape","25","Old School RuneScape","557628900","9990300","77627","352","8980","12508","224","55.82","Old School RuneScape"
