"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4901082420","65835480","502181","2177","105795","109939","1476","74.44","League of Legends"
"Dota 2","2","Dota 2","3149527920","17376300","623824","796","29645","70648","389","181.25","Dota 2"
"Hearthstone","3","Hearthstone","2142785640","10352820","108194","414","24739","48066","232","206.98","Hearthstone"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","1575160620","38561460","152628","1595","91934","35333","864","40.85","Counter-Strike: Global Offensive"
"World of Warcraft","5","World of Warcraft","1211263560","28726260","227428","4567","47423","27170","644","42.17","World of Warcraft"
"Overwatch","6","Overwatch","1118592480","40691520","92808","1740","109939","25091","912","27.49","Overwatch"
"No Man's Sky","7","No Man's Sky","654072840","24639720","218360","4689","69859","14671","552","26.55","No Man's Sky"
"Call of Duty: Black Ops III","8","Call of Duty: Black Ops III","523306740","53774160","129778","2100","159672","11738","1206","9.73","Call of Duty: Black Ops III"
"Dead by Daylight","9","Dead by Daylight","487441560","8850060","54616","473","14161","10934","198","55.08","Dead by Daylight"
"Talk Shows & Podcasts","10","Talk Shows & Podcasts","464162400","3627600","71960","166","14009","10411","81","127.95","Talk Shows & Podcasts"
"Destiny","11","Destiny","395440560","35541420","141860","1717","65024","8870","797","11.13","Destiny"
"Minecraft","12","Minecraft","352313160","24135600","36111","1003","75700","7902","541","14.6","Minecraft"
"RuneScape","13","RuneScape","287272080","4205340","21214","153","6768","6443","94","68.31","RuneScape"
"World of Tanks","14","World of Tanks","276519900","6448500","31836","296","11507","6202","144","42.88","World of Tanks"
"StarCraft II","15","StarCraft II","269531100","2896620","43775","125","5036","6046","64","93.05","StarCraft II"
"Z1: Battle Royale","16","Z1: Battle Royale","266302500","7217400","37775","304","12309","5973","161","36.9","Z1: Battle Royale"
"Arma 3","17","Arma 3","232502760","5592900","37065","264","8719","5215","125","41.57","Arma 3"
"Creative","18","Creative","222271740","9867420","29914","361","20458","4985","221","22.53","Creative"
"Tom Clancy's Rainbow Six: Siege","19","Tom Clancy's Rainbow Six: Siege","210329820","19184220","18727","917","58182","4718","430","10.96","Tom Clancy's Rainbow Six: Siege"
"Grand Theft Auto V","20","Grand Theft Auto V","172713060","21654120","31130","888","80764","3874","485","7.98","Grand Theft Auto V"
"Poker","21","Poker","160283100","1869600","19870","101","2061","3595","41","85.73","Poker"
"Heroes of the Storm","22","Heroes of the Storm","157372980","4020360","21186","171","7376","3530","90","39.14","Heroes of the Storm"
"Pokémon GO","23","Pokémon GO","156889200","1804380","22249","160","6420","3519","40","86.95","Pokémon GO"
"NBA 2K16","24","NBA 2K16","152239440","15864180","21631","781","46973","3414","355","9.6","NBA 2K16"
"Rocket League","25","Rocket League","150150480","6898440","82917","307","33642","3368","154","21.77","Rocket League"
