"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5068043760","68971380","280837","2330","116484","117478","1598","73.48","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","2","PLAYERUNKNOWN'S BATTLEGROUNDS","2739051960","72737340","148584","2888","114736","63492","1686","37.66","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","3","Dota 2","2487534660","18219240","337968","933","28415","57661","422","136.53","Dota 2"
"Hearthstone","4","Hearthstone","1686598740","8778300","86315","337","20548","39095","203","192.13","Hearthstone"
"Overwatch","5","Overwatch","1364959980","58968180","68705","3561","148384","31640","1366","23.15","Overwatch"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","1309767300","33971880","284324","1474","98244","30360","787","38.55","Counter-Strike: Global Offensive"
"E3 2017","7","E3 2017","859943760","1632000","1105343","2142","5199","19933","37","526.93","E3 2017"
"Grand Theft Auto V","8","Grand Theft Auto V","835739220","22898580","76057","1320","74434","19372","530","36.5","Grand Theft Auto V"
"IRL","9","IRL","785086680","11085840","62089","419","33253","18198","256","70.82","IRL"
"World of Warcraft","10","World of Warcraft","614220720","27186240","50661","2504","38995","14237","630","22.59","World of Warcraft"
"Friday the 13th: The Game","11","Friday the 13th: The Game","480914760","17687340","48556","1110","51344","11147","409","27.19","Friday the 13th: The Game"
"Heroes of the Storm","12","Heroes of the Storm","450865260","9065280","63642","387","18376","10451","210","49.74","Heroes of the Storm"
"RuneScape","13","RuneScape","404408460","5433600","62246","200","9488","9374","125","74.43","RuneScape"
"FIFA 17","14","FIFA 17","387013620","8579460","64637","479","29238","8971","198","45.11","FIFA 17"
"Tekken 7","15","Tekken 7","377850780","5781600","57509","508","25874","8758","134","65.35","Tekken 7"
"Black Desert Online","16","Black Desert Online","345465300","7579260","45596","343","11905","8008","175","45.58","Black Desert Online"
"Minecraft","17","Minecraft","312661560","17170080","44423","711","55027","7247","398","18.21","Minecraft"
"Destiny","18","Destiny","307300680","38180760","22483","1931","55773","7123","885","8.05","Destiny"
"Rocket League","19","Rocket League","281939400","8143800","207485","335","37620","6535","188","34.62","Rocket League"
"Darkest Dungeon","20","Darkest Dungeon","281891220","2616660","56136","199","5934","6534","60","107.73","Darkest Dungeon"
"Talk Shows & Podcasts","21","Talk Shows & Podcasts","275664240","3540840","70935","306","12073","6389","82","77.85","Talk Shows & Podcasts"
"Z1: Battle Royale","22","Z1: Battle Royale","248899680","15256620","36447","720","27193","5769","353","16.31","Z1: Battle Royale"
"Tom Clancy's Rainbow Six: Siege","23","Tom Clancy's Rainbow Six: Siege","218110080","20193720","15550","909","63014","5055","468","10.8","Tom Clancy's Rainbow Six: Siege"
"Creative","24","Creative","214117920","12759660","21516","510","25978","4963","295","16.78","Creative"
"StarCraft II","25","StarCraft II","211600200","2984520","38472","117","4752","4904","69","70.9","StarCraft II"
