"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","7298153340","152957520","412216","7253","211492","175015","3668","47.71","League of Legends"
"Just Chatting","2","Just Chatting","5387974260","82740360","309048","2849","195799","129208","1984","65.12","Just Chatting"
"Fortnite","3","Fortnite","3328534980","238553940","273169","11837","427073","79820","5720","13.95","Fortnite"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","2987787060","68106360","614792","3212","154126","71649","1633","43.87","Counter-Strike: Global Offensive"
"Escape From Tarkov","5","Escape From Tarkov","2937843060","65731200","208360","2443","60704","70451","1576","44.69","Escape From Tarkov"
"Grand Theft Auto V","6","Grand Theft Auto V","2605411980","55041300","132945","2661","100907","62479","1319","47.34","Grand Theft Auto V"
"Dota 2","7","Dota 2","2098300320","26215500","236718","1176","29417","50318","628","80.04","Dota 2"
"World of Warcraft","8","World of Warcraft","1904446800","60553020","293197","4240","61087","45670","1452","31.45","World of Warcraft"
"Apex Legends","9","Apex Legends","1698088500","117762120","283368","7923","204742","40721","2824","14.42","Apex Legends"
"Hearthstone","10","Hearthstone","1150434120","8149740","81234","339","12881","27588","195","141.16","Hearthstone"
"Tom Clancy's Rainbow Six: Siege","11","Tom Clancy's Rainbow Six: Siege","1060899960","53194620","234650","2407","124016","25441","1275","19.94","Tom Clancy's Rainbow Six: Siege"
"Minecraft","12","Minecraft","1033528920","47852220","128086","2207","129650","24784","1147","21.6","Minecraft"
"FIFA 20","13","FIFA 20","991345740","18191160","117164","1091","41810","23773","436","54.5","FIFA 20"
"Overwatch","14","Overwatch","920268180","44643840","89447","1648","83070","22068","1070","20.61","Overwatch"
"PLAYERUNKNOWN'S BATTLEGROUNDS","15","PLAYERUNKNOWN'S BATTLEGROUNDS","838219980","43937340","61324","1852","68692","20101","1053","19.08","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dead by Daylight","16","Dead by Daylight","628526700","29849700","56698","1083","45723","15072","715","21.06","Dead by Daylight"
"Wolcen: Lords of Mayhem","17","Wolcen: Lords of Mayhem","550114320","11458620","113848","1335","17192","13192","274","48.01","Wolcen: Lords of Mayhem"
"Slots","18","Slots","547533000","4037460","74401","184","3123","13130","96","135.61","Slots"
"Call Of Duty: Modern Warfare","19","Call Of Duty: Modern Warfare","539350080","57619740","73905","3467","134630","12934","1381","9.36","Call Of Duty: Modern Warfare"
"Rocket League","20","Rocket League","519348480","20379120","152454","885","66909","12454","488","25.48","Rocket League"
"Magic: The Gathering","21","Magic: The Gathering","387140700","3887220","126517","182","6288","9283","93","99.59","Magic: The Gathering"
"Teamfight Tactics","22","Teamfight Tactics","337511220","8480760","27404","323","20546","8093","203","39.8","Teamfight Tactics"
"Warcraft III","23","Warcraft III","313911840","4974120","48265","363","7678","7527","119","63.11","Warcraft III"
"Music","24","Music","304601100","17620680","38075","561","14177","7304","422","17.29","Music"
"StarCraft II","25","StarCraft II","300802200","3326520","90208","128","4841","7213","79","90.43","StarCraft II"
