"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","7415993100","183763200","421581","8390","252555","166352","4122","40.36","League of Legends"
"Just Chatting","2","Just Chatting","6720239160","108513720","360279","4180","248185","150745","2434","61.93","Just Chatting"
"Call Of Duty: Modern Warfare","3","Call Of Duty: Modern Warfare","5787571740","256362360","520918","13777","474044","129824","5750","22.58","Call Of Duty: Modern Warfare"
"Counter-Strike: Global Offensive","4","Counter-Strike: Global Offensive","4007861940","90697140","828949","4667","197089","89902","2034","44.19","Counter-Strike: Global Offensive"
"Fortnite","5","Fortnite","3974952360","285008400","289330","12948","497697","89164","6393","13.95","Fortnite"
"Grand Theft Auto V","6","Grand Theft Auto V","3370444020","63365880","184708","3278","110705","75604","1421","53.19","Grand Theft Auto V"
"Dota 2","7","Dota 2","2510948280","32653680","164524","1490","35212","56324","732","76.9","Dota 2"
"Animal Crossing: New Horizons","8","Animal Crossing: New Horizons","1849969620","27318480","244171","4403","40068","41497","612","67.72","Animal Crossing: New Horizons"
"Escape From Tarkov","9","Escape From Tarkov","1633977240","55693320","173904","2238","49014","36652","1249","29.34","Escape From Tarkov"
"Hearthstone","10","Hearthstone","1434568560","10529580","108476","433","17509","32179","236","136.24","Hearthstone"
"Minecraft","11","Minecraft","1378225800","70134360","225095","3744","183753","30915","1573","19.65","Minecraft"
"Apex Legends","12","Apex Legends","1322141160","103359480","118822","3895","183683","29657","2318","12.79","Apex Legends"
"World of Warcraft","13","World of Warcraft","1220240400","65773860","73509","4060","65578","27371","1475","18.55","World of Warcraft"
"FIFA 20","14","FIFA 20","1189249380","25175400","227013","2196","62395","26676","564","47.24","FIFA 20"
"Overwatch","15","Overwatch","935725920","52232400","194372","1983","98914","20989","1171","17.91","Overwatch"
"Path of Exile","16","Path of Exile","835578480","17543880","117037","3236","17070","18743","393","47.63","Path of Exile"
"PLAYERUNKNOWN'S BATTLEGROUNDS","17","PLAYERUNKNOWN'S BATTLEGROUNDS","826530720","37393740","72358","1359","57987","18540","838","22.1","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Teamfight Tactics","18","Teamfight Tactics","819050220","18314340","57503","1194","44779","18372","410","44.72","Teamfight Tactics"
"Tom Clancy's Rainbow Six: Siege","19","Tom Clancy's Rainbow Six: Siege","784271640","68614080","69354","3068","152219","17592","1539","11.43","Tom Clancy's Rainbow Six: Siege"
"Dead by Daylight","20","Dead by Daylight","714679860","35802660","50220","1458","55228","16031","803","19.96","Dead by Daylight"
"Slots","21","Slots","698063940","4585500","90448","205","3783","15658","102","152.23","Slots"
"Rocket League","22","Rocket League","629883540","25342500","189258","1518","83660","14129","568","24.85","Rocket League"
"DOOM Eternal","23","DOOM Eternal","616541340","19930620","140962","4196","48508","13829","447","30.93","DOOM Eternal"
"Music","24","Music","602946720","24546900","137303","1404","29752","13525","550","24.56","Music"
"Nioh 2","25","Nioh 2","563742120","9033660","123868","754","10544","12645","202","62.4","Nioh 2"
