"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Just Chatting","1","Just Chatting","10122417120","153048720","650779","8045","332334","234641","3547","66.14","Just Chatting"
"Among Us","2","Among Us","8827934880","150464100","745468","12317","410661","204634","3487","58.67","Among Us"
"League of Legends","3","League of Legends","8100493320","190480500","794857","6737","230335","187772","4415","42.53","League of Legends"
"Fortnite","4","Fortnite","4669447980","375935940","271740","17083","561921","108239","8714","12.42","Fortnite"
"Call Of Duty: Modern Warfare","5","Call Of Duty: Modern Warfare","4434780480","383816700","363931","17370","422050","102799","8897","11.55","Call Of Duty: Modern Warfare"
"Grand Theft Auto V","6","Grand Theft Auto V","3537012120","73700820","318681","3147","98039","81989","1708","47.99","Grand Theft Auto V"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","3217388220","61792260","306910","2620","114511","74580","1432","52.07","Counter-Strike: Global Offensive"
"Minecraft","8","Minecraft","2343382080","92942280","431196","3771","203417","54320","2154","25.21","Minecraft"
"Dota 2","9","Dota 2","2286460680","33069900","269456","1402","26860","53000","766","69.14","Dota 2"
"VALORANT","10","VALORANT","2246881740","129593160","155402","5330","196434","52083","3004","17.34","VALORANT"
"Fall Guys: Ultimate Knockout","11","Fall Guys: Ultimate Knockout","2163267180","62890440","617661","4498","223720","50145","1457","34.4","Fall Guys: Ultimate Knockout"
"World of Warcraft","12","World of Warcraft","1699965300","64665540","114189","3889","62389","39405","1498","26.29","World of Warcraft"
"Apex Legends","13","Apex Legends","1474973400","109176060","78679","3868","144309","34190","2530","13.51","Apex Legends"
"Dead by Daylight","14","Dead by Daylight","1289552340","61593600","87686","2682","85128","29892","1427","20.94","Dead by Daylight"
"Hearthstone","15","Hearthstone","1251837540","10368060","86009","527","13477","29018","240","120.74","Hearthstone"
"Music","16","Music","1167198420","40714680","125133","1560","32892","27056","943","28.67","Music"
"Teamfight Tactics","17","Teamfight Tactics","1135880940","22239240","115620","1567","40534","26330","515","51.08","Teamfight Tactics"
"NBA 2K21","18","NBA 2K21","871698480","53630280","112997","6873","68466","20206","1243","16.25","NBA 2K21"
"Rocket League","19","Rocket League","844063920","42316440","136304","3520","151620","19565","980","19.95","Rocket League"
"Overwatch","20","Overwatch","778892160","45088260","58428","1725","74060","18054","1045","17.27","Overwatch"
"Slots","21","Slots","769296420","4946640","76613","192","3450","17832","114","155.52","Slots"
"Path of Exile","22","Path of Exile","750865320","15287640","141391","3697","12906","17405","354","49.12","Path of Exile"
"Escape From Tarkov","23","Escape From Tarkov","734171160","35368560","99336","1333","27034","17018","819","20.76","Escape From Tarkov"
"PLAYERUNKNOWN'S BATTLEGROUNDS","24","PLAYERUNKNOWN'S BATTLEGROUNDS","688050060","38445780","70332","1419","45178","15949","891","17.9","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Rainbow Six: Siege","25","Tom Clancy's Rainbow Six: Siege","664990320","73320780","48552","3522","137597","15414","1699","9.07","Tom Clancy's Rainbow Six: Siege"
