"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","5430535320","342296460","1299699","47033","619076","121815","7678","15.87","Fortnite"
"Teamfight Tactics","2","Teamfight Tactics","4100175000","61682640","358190","2966","110297","91973","1383","66.47","Teamfight Tactics"
"League of Legends","3","League of Legends","4092627540","108211020","280370","3413","179936","91804","2427","37.82","League of Legends"
"Grand Theft Auto V","4","Grand Theft Auto V","3762995280","54147780","217246","2729","108065","84409","1214","69.49","Grand Theft Auto V"
"Just Chatting","5","Just Chatting","3637474500","56368620","175774","1771","146862","81594","1264","64.53","Just Chatting"
"Dota 2","6","Dota 2","2458511880","27708180","278581","1081","35274","55148","621","88.73","Dota 2"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","2442001020","54854280","407519","2224","138472","54777","1230","44.52","Counter-Strike: Global Offensive"
"World of Warcraft","8","World of Warcraft","2216545320","42292380","218084","3039","47346","49720","948","52.41","World of Warcraft"
"Overwatch","9","Overwatch","1754247120","48223680","206996","1769","101433","39350","1081","36.38","Overwatch"
"Apex Legends","10","Apex Legends","1649203560","99548820","232821","6402","193078","36994","2233","16.57","Apex Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","1315463220","57970920","97726","2165","89261","29507","1300","22.69","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Minecraft","12","Minecraft","1123828200","65793900","152011","2547","172853","25209","1475","17.08","Minecraft"
"Super Mario Maker 2","13","Super Mario Maker 2","1001899920","11383380","78727","701","14975","22474","255","88.01","Super Mario Maker 2"
"Hearthstone","14","Hearthstone","678549900","5815020","70561","250","11514","15220","130","116.69","Hearthstone"
"Tom Clancy's Rainbow Six: Siege","15","Tom Clancy's Rainbow Six: Siege","644113380","54174720","66962","1975","140104","14448","1215","11.89","Tom Clancy's Rainbow Six: Siege"
"Call of Duty: Black Ops 4","16","Call of Duty: Black Ops 4","529967520","51368100","81713","2213","89759","11888","1152","10.32","Call of Duty: Black Ops 4"
"Dead by Daylight","17","Dead by Daylight","515235660","26446080","37274","916","46790","11557","593","19.48","Dead by Daylight"
"Path of Exile","18","Path of Exile","466604580","12211200","29067","490","13183","10466","273","38.21","Path of Exile"
"Destiny 2","19","Destiny 2","375253740","28059540","30731","1617","42494","8417","629","13.37","Destiny 2"
"Slots","20","Slots","360630840","2729820","72565","109","2497","8089","61","132.11","Slots"
"Magic: The Gathering","21","Magic: The Gathering","344669520","4756320","32612","311","8349","7731","106","72.47","Magic: The Gathering"
"FIFA 19","22","FIFA 19","338691720","11087580","157634","689","28856","7597","248","30.55","FIFA 19"
"Dota Underlords","23","Dota Underlords","316908180","6613920","22869","305","14548","7108","148","47.92","Dota Underlords"
"FINAL FANTASY XIV Online","24","FINAL FANTASY XIV Online","303943920","20217420","23624","1833","23022","6817","453","15.03","FINAL FANTASY XIV Online"
"StarCraft II","25","StarCraft II","278079840","3748140","59758","133","5921","6237","84","74.19","StarCraft II"
