"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"VALORANT","1","VALORANT","20673118740","275300820","1728977","15710","319709","479209","6381","75.09","VALORANT"
"Just Chatting","2","Just Chatting","8515378680","138202020","548653","4912","272519","197389","3203","61.62","Just Chatting"
"League of Legends","3","League of Legends","8151568320","207689700","727437","8802","243651","188956","4814","39.25","League of Legends"
"Fortnite","4","Fortnite","5862050160","444791700","832660","59676","565926","135884","10310","13.18","Fortnite"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","5200389660","118878840","535624","5542","215744","120546","2755","43.75","Counter-Strike: Global Offensive"
"Call Of Duty: Modern Warfare","6","Call Of Duty: Modern Warfare","4809858840","332559600","389980","13207","436487","111494","7708","14.46","Call Of Duty: Modern Warfare"
"Grand Theft Auto V","7","Grand Theft Auto V","4544666040","87022560","240860","4233","122286","105346","2017","52.22","Grand Theft Auto V"
"Dota 2","8","Dota 2","3268624320","40435980","360147","1747","34147","75767","937","80.83","Dota 2"
"Minecraft","9","Minecraft","2467664160","100162560","317297","4077","196386","57201","2321","24.64","Minecraft"
"World of Warcraft","10","World of Warcraft","1980780780","79571760","150840","4515","68562","45915","1844","24.89","World of Warcraft"
"Hearthstone","11","Hearthstone","1757679840","15137160","159643","1313","20427","40743","350","116.12","Hearthstone"
"FIFA 20","12","FIFA 20","1603365060","42500520","252777","3825","87226","37166","985","37.73","FIFA 20"
"Final Fantasy VII Remake","13","Final Fantasy VII Remake","1415324820","65242320","229292","9298","54928","32807","1512","21.69","Final Fantasy VII Remake"
"Teamfight Tactics","14","Teamfight Tactics","1368326640","23609100","121033","821","44358","31718","547","57.96","Teamfight Tactics"
"Animal Crossing: New Horizons","15","Animal Crossing: New Horizons","1349649840","31170240","130992","1759","38121","31285","722","43.3","Animal Crossing: New Horizons"
"Escape From Tarkov","16","Escape From Tarkov","1155314340","43976820","266055","1697","34297","26780","1019","26.27","Escape From Tarkov"
"Music","17","Music","1111952640","37875420","185533","1954","43889","25775","877","29.36","Music"
"Apex Legends","18","Apex Legends","1016873100","99514320","74276","3877","135535","23571","2306","10.22","Apex Legends"
"Resident Evil 3","19","Resident Evil 3","930399360","24948060","318002","5619","51549","21566","578","37.29","Resident Evil 3"
"Slots","20","Slots","839611320","4897620","114814","230","4130","19462","113","171.43","Slots"
"Overwatch","21","Overwatch","822515100","52544280","82477","2087","87545","19066","1217","15.65","Overwatch"
"Mount & Blade II: Bannerlord","22","Mount & Blade II: Bannerlord","806788800","13103580","132049","1010","17732","18701","303","61.57","Mount & Blade II: Bannerlord"
"Dead by Daylight","23","Dead by Daylight","778293060","40428960","68689","1790","55513","18041","937","19.25","Dead by Daylight"
"PLAYERUNKNOWN'S BATTLEGROUNDS","24","PLAYERUNKNOWN'S BATTLEGROUNDS","717048480","37188720","71953","1371","45116","16621","862","19.28","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Tom Clancy's Rainbow Six: Siege","25","Tom Clancy's Rainbow Six: Siege","683610540","77620080","42454","3131","136957","15846","1799","8.81","Tom Clancy's Rainbow Six: Siege"
