"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5964928620","72548100","386334","2770","114317","148160","1801","82.22","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","2428825500","40673040","459482","2078","100125","60328","1010","59.72","Counter-Strike: Global Offensive"
"Hearthstone","3","Hearthstone","2000721720","8971620","142596","368","19906","49695","222","223.01","Hearthstone"
"Dota 2","4","Dota 2","1926913380","19614420","220700","1063","29259","47861","487","98.24","Dota 2"
"Overwatch","5","Overwatch","1112652000","46709880","77354","2230","120815","27636","1160","23.82","Overwatch"
"Z1: Battle Royale","6","Z1: Battle Royale","1004947500","27324540","91212","1184","44100","24961","678","36.78","Z1: Battle Royale"
"For Honor","7","For Honor","921927300","22886040","124182","2064","60525","22899","568","40.28","For Honor"
"World of Warcraft","8","World of Warcraft","690817740","28595700","36882","1879","37872","17158","710","24.16","World of Warcraft"
"Conan Exiles","9","Conan Exiles","538305180","8464320","102398","775","12519","13370","210","63.6","Conan Exiles"
"Nioh","10","Nioh","517825440","11949660","93044","1211","20721","12862","296","43.33","Nioh"
"FIFA 17","11","FIFA 17","506684700","9679380","63554","564","29375","12585","240","52.35","FIFA 17"
"IRL","12","IRL","395418420","4257120","44027","204","15059","9821","105","92.88","IRL"
"Tom Clancy's Rainbow Six: Siege","13","Tom Clancy's Rainbow Six: Siege","389113740","27427260","78882","1409","79301","9665","681","14.19","Tom Clancy's Rainbow Six: Siege"
"Minecraft","14","Minecraft","382838580","17803800","104992","957","52097","9509","442","21.5","Minecraft"
"Talk Shows & Podcasts","15","Talk Shows & Podcasts","358432140","4171800","46130","195","13906","8902","103","85.92","Talk Shows & Podcasts"
"Destiny","16","Destiny","343994460","52251000","61286","2901","60912","8544","1297","6.58","Destiny"
"Heroes of the Storm","17","Heroes of the Storm","340266600","6526920","42144","299","12179","8451","162","52.13","Heroes of the Storm"
"Resident Evil 7: Biohazard","18","Resident Evil 7: Biohazard","299611740","14213820","53945","1283","50894","7441","353","21.08","Resident Evil 7: Biohazard"
"World of Tanks","19","World of Tanks","286140300","8041020","32966","392","13122","7107","199","35.59","World of Tanks"
"Creative","20","Creative","284371740","12533040","22128","488","24642","7063","311","22.69","Creative"
"RuneScape","21","RuneScape","276085860","4970640","21663","229","7851","6857","123","55.54","RuneScape"
"StarCraft II","22","StarCraft II","254751960","3252420","32189","145","4950","6327","80","78.33","StarCraft II"
"Poker","23","Poker","240068520","2506500","21138","150","2567","5962","62","95.78","Poker"
"SMITE","24","SMITE","236987880","7947300","30109","392","16980","5886","197","29.82","SMITE"
"Rust","25","Rust","205555200","4798260","50790","245","9675","5105","119","42.84","Rust"
