"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","5343180480","326216700","357529","14870","596217","119856","7317","16.38","Fortnite"
"League of Legends","2","League of Legends","5165669580","118666800","455329","5256","187707","115874","2661","43.53","League of Legends"
"Dota 2","3","Dota 2","4253122740","29228880","1045985","1174","37081","95404","655","145.51","Dota 2"
"World of Warcraft","4","World of Warcraft","4073685600","95646960","1103295","19085","111263","91379","2145","42.59","World of Warcraft"
"Just Chatting","5","Just Chatting","3902523120","60160140","203000","1967","155221","87539","1349","64.87","Just Chatting"
"Grand Theft Auto V","6","Grand Theft Auto V","3883074180","53259720","204916","2146","101665","87103","1194","72.91","Grand Theft Auto V"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","2766775980","58493400","518564","2281","147984","62063","1312","47.3","Counter-Strike: Global Offensive"
"Overwatch","8","Overwatch","2104816860","53882340","156073","2813","113361","47214","1208","39.06","Overwatch"
"Minecraft","9","Minecraft","1964348880","78097260","233472","2979","202798","44063","1751","25.15","Minecraft"
"Teamfight Tactics","10","Teamfight Tactics","1761256680","32340660","88505","1322","70274","39507","725","54.46","Teamfight Tactics"
"PLAYERUNKNOWN'S BATTLEGROUNDS","11","PLAYERUNKNOWN'S BATTLEGROUNDS","1500898920","62988180","271355","2165","94655","33667","1412","23.83","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","12","Hearthstone","1292546040","7388340","112249","905","15433","28993","165","174.94","Hearthstone"
"Apex Legends","13","Apex Legends","1171453320","84606180","194143","4389","166956","26277","1897","13.85","Apex Legends"
"Tom Clancy's Rainbow Six: Siege","14","Tom Clancy's Rainbow Six: Siege","853922580","52376100","194684","2034","135115","19154","1174","16.3","Tom Clancy's Rainbow Six: Siege"
"Slots","15","Slots","748904040","3245940","111701","139","3267","16799","72","230.72","Slots"
"Call of Duty: Black Ops 4","16","Call of Duty: Black Ops 4","623234220","44496900","220935","2087","79985","13980","998","14.01","Call of Duty: Black Ops 4"
"Dead by Daylight","17","Dead by Daylight","483563700","26800860","39159","963","46565","10847","601","18.04","Dead by Daylight"
"Super Mario Maker 2","18","Super Mario Maker 2","428663520","5966160","31187","292","7907","9615","133","71.85","Super Mario Maker 2"
"Remnant: From the Ashes","19","Remnant: From the Ashes","396326580","11769780","94947","1086","24758","8890","264","33.67","Remnant: From the Ashes"
"Rust","20","Rust","335075580","9197160","37386","484","15449","7516","206","36.43","Rust"
"Super Smash Bros. Ultimate","21","Super Smash Bros. Ultimate","326909340","5191200","271926","383","10774","7333","116","62.97","Super Smash Bros. Ultimate"
"Destiny 2","22","Destiny 2","322016640","25691400","74108","1144","41033","7223","576","12.53","Destiny 2"
"StarCraft II","23","StarCraft II","294224640","3854100","45830","137","6261","6599","86","76.34","StarCraft II"
"Magic: The Gathering","24","Magic: The Gathering","272829840","3991740","24218","157","6927","6120","89","68.35","Magic: The Gathering"
"Art","25","Art","263996040","16142100","15332","569","28552","5921","362","16.35","Art"
