"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4975049100","80546580","1084257","2869","130486","115323","1867","61.77","League of Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","2","PLAYERUNKNOWN'S BATTLEGROUNDS","2977572480","90968460","218135","3136","149718","69021","2108","32.73","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Dota 2","3","Dota 2","2377783080","20562060","227242","826","28991","55117","476","115.64","Dota 2"
"Hearthstone","4","Hearthstone","1649311200","11279280","135561","403","23373","38231","261","146.22","Hearthstone"
"Counter-Strike: Global Offensive","5","Counter-Strike: Global Offensive","1542201720","34450980","287276","1552","91409","35748","798","44.77","Counter-Strike: Global Offensive"
"IRL","6","IRL","1431773880","18942840","100262","748","54932","33189","439","75.58","IRL"
"Fortnite","7","Fortnite","1403457780","59421120","147556","2593","148535","32532","1377","23.62","Fortnite"
"Overwatch","8","Overwatch","1338584700","50124780","329834","2057","112654","31028","1161","26.71","Overwatch"
"Call of Duty: WWII","9","Call of Duty: WWII","1093649580","31929720","126011","2811","124774","25351","740","34.25","Call of Duty: WWII"
"World of Warcraft","10","World of Warcraft","1061255940","32262540","114050","3142","45047","24600","747","32.89","World of Warcraft"
"Grand Theft Auto V","11","Grand Theft Auto V","593973360","14576880","47263","677","38178","13768","337","40.75","Grand Theft Auto V"
"FIFA 18","12","FIFA 18","592309740","10977480","88649","710","33474","13729","254","53.96","FIFA 18"
"Destiny 2","13","Destiny 2","394794720","39862560","111655","2765","77034","9151","924","9.9","Destiny 2"
"Minecraft","14","Minecraft","376414440","12656340","63658","654","35012","8725","293","29.74","Minecraft"
"Getting Over It with Bennett Foddy","15","Getting Over It with Bennett Foddy","373274340","1415640","86187","107","6682","8652","32","263.68","Getting Over It with Bennett Foddy"
"Super Mario Odyssey","16","Super Mario Odyssey","343508640","5081700","32050","414","8426","7962","117","67.6","Super Mario Odyssey"
"Talk Shows & Podcasts","17","Talk Shows & Podcasts","298450500","2625660","55412","138","8430","6918","60","113.67","Talk Shows & Podcasts"
"Dead by Daylight","18","Dead by Daylight","296409780","12014280","42683","657","20372","6870","278","24.67","Dead by Daylight"
"Tom Clancy's Rainbow Six: Siege","19","Tom Clancy's Rainbow Six: Siege","294365580","19561080","82332","993","61248","6823","453","15.05","Tom Clancy's Rainbow Six: Siege"
"StarCraft II","20","StarCraft II","290846880","3877680","102646","183","8046","6741","89","75.01","StarCraft II"
"Heroes of the Storm","21","Heroes of the Storm","282202800","7884000","67844","301","13956","6541","182","35.79","Heroes of the Storm"
"Star Wars Battlefront II","22","Star Wars Battlefront II","262077960","5456340","68004","673","21146","6075","126","48.03","Star Wars Battlefront II"
"Rocket League","23","Rocket League","257403600","8796540","180582","406","33939","5966","203","29.26","Rocket League"
"RuneScape","24","RuneScape","237070920","5357160","16300","196","7675","5495","124","44.25","RuneScape"
"Poker","25","Poker","214622940","2037420","39295","112","2335","4975","47","105.34","Poker"
