"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","6508863840","117963840","369522","3947","172418","146004","2646","55.18","League of Legends"
"Fortnite","2","Fortnite","6075934980","502415520","424746","23473","888542","136292","11269","12.09","Fortnite"
"Grand Theft Auto V","3","Grand Theft Auto V","3690988800","32129160","304053","1593","66347","82794","720","114.88","Grand Theft Auto V"
"Apex Legends","4","Apex Legends","3579647400","227204700","303666","10439","437017","80297","5096","15.76","Apex Legends"
"Just Chatting","5","Just Chatting","3494195160","52701600","211835","1781","135026","78380","1182","66.3","Just Chatting"
"Dota 2","6","Dota 2","3019988820","33808080","357971","1456","47351","67743","758","89.33","Dota 2"
"Counter-Strike: Global Offensive","7","Counter-Strike: Global Offensive","2124710040","54827640","833440","2509","134809","47660","1229","38.75","Counter-Strike: Global Offensive"
"Overwatch","8","Overwatch","1596466800","48217740","259090","1748","104627","35811","1081","33.11","Overwatch"
"Sekiro: Shadows Die Twice","9","Sekiro: Shadows Die Twice","1525589040","28221120","279037","4679","75943","34221","633","54.06","Sekiro: Shadows Die Twice"
"PLAYERUNKNOWN'S BATTLEGROUNDS","10","PLAYERUNKNOWN'S BATTLEGROUNDS","1227123300","48935640","113196","1730","70159","27526","1097","25.08","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Hearthstone","11","Hearthstone","959395560","7934340","107496","289","15942","21520","177","120.92","Hearthstone"
"World of Warcraft","12","World of Warcraft","874005600","42763140","83100","2527","47566","19605","959","20.44","World of Warcraft"
"Tom Clancy's The Division 2","13","Tom Clancy's The Division 2","818754480","42920400","139221","3544","88236","18365","962","19.08","Tom Clancy's The Division 2"
"FIFA 19","14","FIFA 19","713445720","16173840","284352","969","44485","16003","362","44.11","FIFA 19"
"Path of Exile","15","Path of Exile","712018320","16766700","99134","2922","19000","15971","376","42.47","Path of Exile"
"Tom Clancy's Rainbow Six: Siege","16","Tom Clancy's Rainbow Six: Siege","542987280","47561880","74941","2113","122920","12180","1066","11.42","Tom Clancy's Rainbow Six: Siege"
"Call of Duty: Black Ops 4","17","Call of Duty: Black Ops 4","524329680","49550100","107439","2205","95203","11761","1111","10.58","Call of Duty: Black Ops 4"
"Dead by Daylight","18","Dead by Daylight","499017060","23985300","35758","1042","39926","11193","538","20.81","Dead by Daylight"
"Old School RuneScape","19","Old School RuneScape","447366240","7379940","83930","271","11018","10035","165","60.62","Old School RuneScape"
"Magic: The Gathering","20","Magic: The Gathering","427622280","4820520","155987","202","8312","9592","108","88.71","Magic: The Gathering"
"Auto Chess","21","Auto Chess","402218940","4033140","65070","294","7808","9022","90","99.73","Auto Chess"
"Devil May Cry 5","22","Devil May Cry 5","386204700","15176040","140428","2636","37492","8663","340","25.45","Devil May Cry 5"
"Music","23","Music","346017360","14435400","20933","448","14865","7761","323","23.97","Music"
"StarCraft II","24","StarCraft II","341924820","4247280","69828","159","6755","7669","95","80.5","StarCraft II"
"Super Smash Bros. Ultimate","25","Super Smash Bros. Ultimate","337724640","7004100","77985","439","13048","7575","157","48.22","Super Smash Bros. Ultimate"
