"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","6467622960","397753020","1077180","34564","800661","149921","9220","16.26","Fortnite"
"League of Legends","2","League of Legends","4957357440","99841500","1147825","4981","164208","114913","2314","49.65","League of Legends"
"Just Chatting","3","Just Chatting","2749177140","32037720","227149","1213","91574","63726","742","85.81","Just Chatting"
"Dota 2","4","Dota 2","2678295180","27077340","353055","1331","36356","62083","627","98.91","Dota 2"
"Call of Duty: Black Ops 4","5","Call of Duty: Black Ops 4","1822945680","72844500","179723","4249","254921","42256","1688","25.03","Call of Duty: Black Ops 4"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","1593387360","42565440","308216","1993","110383","36935","986","37.43","Counter-Strike: Global Offensive"
"Overwatch","7","Overwatch","1310683860","55477800","259787","2133","129623","30382","1285","23.63","Overwatch"
"PLAYERUNKNOWN'S BATTLEGROUNDS","8","PLAYERUNKNOWN'S BATTLEGROUNDS","1228027080","45245640","97870","1772","74828","28466","1048","27.14","PLAYERUNKNOWN'S BATTLEGROUNDS"
"World of Warcraft","9","World of Warcraft","1163434560","40256220","266514","2629","54828","26968","933","28.9","World of Warcraft"
"Hearthstone","10","Hearthstone","1134907860","8769480","96121","317","19968","26307","203","129.42","Hearthstone"
"Casino","11","Casino","1107523800","3438840","77569","152","2604","25672","79","322.06","Casino"
"Pokémon: Let's Go, Pikachu!","12","Pokémon: Let's Go, Pikachu!","1047208680","10735620","143784","1583","16180","24274","248","97.55","Pokémon: Let's Go, Pikachu!"
"FIFA 19","13","FIFA 19","1042958280","17770620","160659","1134","49889","24176","411","58.69","FIFA 19"
"Warframe","14","Warframe","914172840","11317440","162653","756","21842","21190","262","80.78","Warframe"
"Red Dead Redemption 2","15","Red Dead Redemption 2","905786640","53386260","103026","3315","114076","20996","1237","16.97","Red Dead Redemption 2"
"Fallout 76","16","Fallout 76","812623020","32799240","209140","5476","59684","18836","760","24.78","Fallout 76"
"LOST ARK","17","LOST ARK","729008220","12808200","89384","1573","9661","16898","296","56.92","LOST ARK"
"Grand Theft Auto V","18","Grand Theft Auto V","577610880","16953840","64088","877","41074","13389","392","34.07","Grand Theft Auto V"
"Dead by Daylight","19","Dead by Daylight","527552340","23680800","49502","1300","42862","12228","548","22.28","Dead by Daylight"
"Tom Clancy's Rainbow Six: Siege","20","Tom Clancy's Rainbow Six: Siege","521541480","33982080","164174","1542","98353","12089","787","15.35","Tom Clancy's Rainbow Six: Siege"
"Battlefield V","21","Battlefield V","499377600","15136800","89149","1160","46471","11575","350","32.99","Battlefield V"
"Magic: The Gathering","22","Magic: The Gathering","424857180","5635140","54837","245","11102","9848","130","75.39","Magic: The Gathering"
"Destiny 2","23","Destiny 2","374070000","36599820","26938","1764","77893","8671","848","10.22","Destiny 2"
"Heroes of the Storm","24","Heroes of the Storm","373500840","8069700","64502","321","13741","8657","187","46.28","Heroes of the Storm"
"StarCraft II","25","StarCraft II","364483320","4060620","148897","156","7098","8448","94","89.76","StarCraft II"
